E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;americana;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;chaqueta;+;+;+;+;+;-;-;-;-;-;+;-;+;+;+;-;-;+;-;-;-
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;gabán;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;saco;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;saco de terno;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;saco de traje;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+
R;A001;Prenda de vestir masculina, que forma con el chaleco y los pantalones el traje completo. No es de paño con botones dorados.;JACKET;vestón;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;abrigo;-;-;+;+;+;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;camperita;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A002;Prenda de lanas, con botones.;CARDIGAN;cárdigan;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+
R;A002;Prenda de lanas, con botones.;CARDIGAN;chaleco;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;chaqueta;+;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;chompa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;jersey;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;jompa ;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;rebeca;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A002;Prenda de lanas, con botones.;CARDIGAN;saco (de lana);-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;+
R;A002;Prenda de lanas, con botones.;CARDIGAN;saquito;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+
R;A002;Prenda de lanas, con botones.;CARDIGAN;suéter ;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;camisa;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;camiseta;+;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;+;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;camiseta polo ;-;+;-;-;-;+;-;-;-;+;+;-;-;-;-;+;-;-;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;franela;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;playera;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;polera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;polo;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
R;A003;Prenda que se lleva pegada al cuerpo con adornos y leyendas. (No es una prenda interior).;T-SHIRT;poloshirt;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
