jacket saco
cardigan chompa
t-shirt polera
sweater chompa
windbreaker chamarra
overalls overol
poncho poncho
jeans jeans
overcoat abrigo
shawl chal
shawl mantilla
pajamas pijama
skirt falda
ribbon huincha
ribbon vincha
hood capucha
earrings aretes
ring anillo
ring aro
cufflinks gemelos
mascara rímel
suspenders suspensores
suspenders tirantes
socks calcetines
socks medias
slippers pantuflas
heel taco
underskirt combinación
underskirt enagua
petticoart combinación
petticoart enagua
panties calzón
panties calzones
panties panti
brassiere sostén
zipper cierre
clasp broche
glasses lentes
shorts calzoncillo
swimsuit malla
folder folder
valise maletín
bag maletín
suitcase maleta
handbag cartera
rucksack mochila
rucksack morral
dishwasher lavaplatos
cupboard alacena
faucet grifo
faucet llave
faucet pila
sink lavaplatos
cooker cocina
cooker cocinilla
refrigerator frigider
refrigerator refrigerador
pot olla
dishcloth repasador
dishcloth secador
dishcloth trapo
straw bombilla
coaster posavasos
croissant croissant
tart pastel
tart torta
sandwich sándwich
popcorn pipocas
popcorn pocorn
scales balanza
bucket balde
teat chupón
lighter encendedor
earphones audífonos
earphones headphones
baffle parlantes
switch interruptor
radio radio
bedroom cuarto
bedroom dormitorio
chandelier lámpara
blanket frazada
bedspread cubrecama
bedspread edredón
hanger colgador
washbasin lavamanos
tank tanque
bowl inodoro
bowl taza
shower ducha
rose ducha
bathtub tina
dryer secadora
landing descanso
bulb foco
stool banco
stool taburete
glass vidrio
match fósforo
peg gancho
peephole ojo
doorknob chapa
doorknob perilla
wrench llave
car auto
fender parachoques
headlight faroles
headlight luces
windsreen parabrisas
hood capó
winker guiñador
lock chapa
lock seguro
trunk maletera
trunk maletero
fender guardabarros
fender guardafangos
tire llanta
tire neumático
wheel llanta
van minibús
van camioneta
van vagoneta
van van
jeep jeep
bus bus
bus colectivo
bus micro
bus flota
handlebar manubrio
silencer escape
exhaust escape
minibus minibús
scooter motoneta
platform andén
rail rieles
tie durmientes
tie rieles
sidewalk acera
sidewalk vereda
reception lobby
reception recepción
stewardess azafata
bill boleto
bill pasaje
pen bolígrafo
pen pluma
stapler engrampadora
stapler engrapadora
staple grampas
blackboard pizarra
blackboard pizarrón
paperweight pisapapeles
computer computadora
computer lap
stamp estampilla
handle manivela
slingshot honda
scooter monopatín
scooter scooter
tent carpa
kite cometa
kite volador
kite volantín
boat bote
lawn césped
lawn pasto
slide resbalín
slide tobogán
bench banco
poster afiche
poster poster
harmonica armónica
pancake panqueque
pit pepa
packet caja
packet paquete
demijohn bidón
cap tapa
can botella
can lata
colander sumidor
ladle cucharón
drainboard escurridera
turner espátula
turner espumadera
mixer batidora
filter filtro
knifegrinder afilador
tray bandeja
tray charola
cupboard aparador
cupboard mueble
cupboard vitrina
playpen corral
basket canasta
basket canastilla
clasp abrazadera
washer lavadora
bobin carrete
needle palillos
cushion almohadón
cushion cojín
stool banquito
q-tips cotonete
plaster curita
sling cabestrillo
attic altillo
attic ático
lock aldaba
lock picaporte
wardrobe closet
wardrobe ropero
bidet bidé
raincoat impermeable
bolero bolero
bolero chaleco
sportshirt polera
smock mameluco
fringe flecos
mitten mitones
pochette cartuchera
cuff bastilla
cuff botapié
sandal chinelas
sandal sandalias
studs cachos
studs toperoles
shorts boxers
shorts calzoncillos
apron delantal
apron mandil
lipstick labial
lipstick rouge
rollers ruleros
chalk tiza
diary agenda
diary exfoliador
checkbook chequera
photocopier fotocopiadora
swing columpio
marbles bolitas
marbles canicas
dart dardo
hoop hula-hula
skateboard monopatín
skateboard patineta
skateboard skate
megaphone altavoz
megaphone altoparlante
megaphone megáfono
pinwheel estrella
parachute paracaídas
frisbee frisbee
boxing box
boxing boxeo
goal arco
merry-go-round carrusel
binoculars largavista
binoculars binocular
convertible convertible
air-bag airbag
road autopista
road carretera
saddle asiento
handlebar dirección
bar bar
bar barra
can barril
can turril
dam dique
dam represa
loudspeaker altavoz
loudspeaker altoparlante
loudspeaker amplificador
loudspeaker megáfono
horn bocina
toilet baño
bootblack lustrabotas
janitor barrendera
janitor limpiadora
directory guía
bankbook libreta
spray spray
rotary circunvalación
rotary rotonda
toothpaste dentífrico
loudspeaker micrófono
blind persiana
awning tolda
awning toldo
tripod trípode
battery baterías
battery pilas
pushcart carrito
pushcart carro
wedge cuña
wedge tranca
check-room casillero
carrycot canguro
carrycot cargador
carrycot portabebé
number número
strecher camilla
fans aficionados
fans hinchada
sting aguijón
apricot damasco
food alimento
food comestible
raising subida
brook arroyo
brook riachuelo
murderer asesino
murderer sicari
slap sopapo
bar café
bar snack
puff pitada
waiter mesero
waiter mozo
pig cerdo
pig chancho
resignation renuncia
cooking cocción
cooking cocinar
avarice ambición
avarice avaricia
avarice codicia
shell caparazón
chat charla
chat conversación
anger bronca
anger cólera
anger enojo
anger rabia
cost costo
crossing cruce
slope cerro
slope cuesta
slope ladera
bay bahía
amusement distracción
amusement diversión
amusement entretenimiento
amusement pasatiempo
school colegio
school escuela
stay estadía
miss error
miss falla
bangs cerquillo
bangs flequillo
plumber plomero
stranger extranjero
stranger forastero
stranger turista
form formulario
rubber goma
hunger hambre
beauty belleza
beauty bonito
beauty hermosura
grass césped
grass pasto
iron hierro
concrete cemento
concrete concreto
concrete hormigón
hospital hospital
graduate licenciado
graduate titulado
degree licenciatura
discount liquidación
discount ofertas
discount promoción
discount rebaja
discount remate
call llamada
arrival arribo
arrival llegada
whip chicote
whip látigo
teacher maestro
teacher profesor
weeds maleza
spring manantial
spring vertiente
butter mantequilla
block cuadra
block manzana
cheek mejillas
peach durazno
monkey mono
mosquito mosquito
mosquito zancudo
jackknife cortaplumas
jackknife navaja
worker obrero
chance chance
chance oportunidad
unemployment desempleo
seafront costanera
potato papa
sponsor auspiciador
sponsor patrocinador
toll peaje
laziness flojera
laziness pereza
apartment departamento
banana guineo
banana plátano
policeman policía
dust polvareda
spokesman portavoz
spokesman representante
grade puntaje
kerosene querosén
kerosene querosene
pickpocket ladrón
pickpocket ratero
raid redada
relation relación
repairing arreglo
repairing refacción
repairing reparación
slip resbalón
rumor rumor
highlander serrano
hissing pitazo
position ubicación
arrogance arrogancia
arrogance prepotencia
arrogance soberbia
bribery coima
change suelto
bar cantina
tidbits bocadito
earthquake sismo
earthquake temblor
earthquake terremoto
store tienda
shooting balacera
shooting tiroteo
courage valentía
courage valor
breeze vientecito
breeze vientito
visa visa
glance mirada
glance miradita
glance ojeada
glance vistazo
change cambio
change vuelto
walk vueltita
sharp filoso
sharp filudo
bitter amargo
yellowish amarillento
before antes
here acá
here aquí
risky peligroso
risky riesgoso
amazing asombroso
amazing sorprendente
astute alerta
astute atento
bluish azulado
brilliant brillante
avaricious ambicioso
avaricious angurriento
avaricious codicioso
thin delgado
thin escuálido
thin flaco
inside dentro
difficult complicado
difficult difícil
where ¿dónde?
angry enojado
often seguido
outside afuera
greasy grasoso
grayish grisáceo
grayish plomizo
skillfull capo
skillfull hábil
skillfull habiloso
beautiful hermoso
beautiful lindo
beautiful precioso
bony huesudo
weak débil
weak liviano
filthy cochino
filthy mugriento
very muy
little chico
little chiquito
little niño
little pequeño
standing parado
dusty empolvado
perhaps quizás
fast pronto
fast rápido
clear pulcro
which ¿cuál?
radiant feliz
radiant radiante
recently recientemente
comforting reconfortante
cold gripe
cold resfrío
broken roto
coarse grosero
coarse patán
coarse pesado
slant chueco
annoy fastidiar
annoy fregar
annoy hinchar
arrive llegar
break romper
clear deshierbar
desorient descolocar
dial discar
dial marcar
dismiss botar
dismiss despedir
dismiss destituir
dismiss echar
drive conducir
drive manejar
encourage incentivar
escape escapar
fill tapar
gossip chismear
hurry apresurarse
hurry apurarse
impress impresionar
kill asesinar
kill matar
kneel arrodillarse
kneel hincarse
lick lamer
light encender
matter disgustar
matter enojar
matter importar
miss extrañar
overturn volcarse
pamper malcriar
pamper mimar
park estacionar
park parquear
postpone postergar
puff pitar
pull jalar
punch golpear
repair arreglar
repair reparar
return regresar
search registrar
shake sacudir
shoot disparar
skin despellejar
sponsor auspiciar
throw lanzar
throw tirar
tie amarrar
turn doblar
turn girar
undress desvestirse
unpack desempacar
upset entristecer
value avaluar
value valorar
watch mirar
whistle silbar
grind corcho
grind estudioso
truant faltón
truant irresponsable
cheat copiar
tell-tale acusete
tell-tale chismoso
flatterer chupamedias
bully abusivo
meek callado
meek tímido
hooligans maleantes
hooligans pandilleros
repeater aplazados
repeater reprobado
boss jefe
pay salario
tired agotado
tired cansado
tired out
party fiesta
policeman paco
plainclothes-man agente
prison cárcel
prison prisión
cigarette cigarro
beer shop
drug estupefaciente
storm aguacero
horns cuernos
contact contacto
trouble molestia
beating golpiza
beating paliza
baby bebé
baby guagua
drunken borracho
drunken ebrio
beat golpear
beat pegar
thin flacucho
fat chancho
fat gordo
fat rechoncho
tall alto
tall grandulón
short bajito
short petizo
charming bombón
charming buenona
charming guapa
attractive churrísimo
attractive churro
attractive guapo
bad-smelling apestoso
bad-smelling hediondo
head coco
hair mechas
hair pelo
feet patas
feet pies
pregnant embarazada
competent capo
competent competente
competent inteligente
fool bobo
fool bruto
fool burro
fool estúpido
fool imbécil
fool sonso
fool tarado
fool tonto
fool zonzo
coarseness grosería
foolishness bobada
foolishness estupidez
foolishness idiotez
foolishness necedad
foolishness sandez
foolishness tontería
foolishness zoncera
spaniard gallego
informer soplón
flatterer adulador
flatterer adulón
flatterer salamero
fluke chepa
fluke chiripa
fluke chiripón
fluke suerte
rich millonario
rich platudo
rich rico
boring antipático
boring inaguantable
boring insoportable
boring pesado
lazy flojo
lazy holgazán
lazy ocioso
lazy vago
poor pobre
hello Aló.
hello ¿Aló?
hell! Mierda.
bye Adiós.
bye Chao.
bye Chau.
annoying asquerosa
annoying desagradable
tremendous admirable
tremendous bárbaro
tremendous capo
tremendous excelente
tremendous genial
tremendous impresionante
tremendous increíble
tremendous maravilloso
tremendous súper
great! ¡Buenísimo!
great! ¡Espectacular!
great! ¡Excelente!
great! ¡Yupi!
apparently aparentemente
sewer alcantarilla
stretcher andas
stretcher camillas
handle asa
handle oreja
pretty bonita
pretty guapa
pretty linda
uproar alboroto
uproar bulla
lock cerradura
cord cuerda
cord pita
ahead adelante
thread ensartar
angry disgustado
angry molesto
expel botar
expel echar
fuck acostarse
fuck coger
fuck tirar
talkative hablador
talkative parlanchín
obscene degenerado
obscene obsceno
obscene porno
obscene pornográfico
merchandise mercadería
merchandise producto
knock-kneed chueco
knock-kneed patichueco
skin piel
presentiment corazonada
presentiment presentimiento
resin resina
quarrel altercado
quarrel desavenencia
quarrel discusión
quarrel enfrentamiento
quarrel pelea
delay demorar
delay tardar
unfortunate desafortunado
unfortunate desgraciado
spoiled consentido
spoiled engreído
spoiled mimado
aperitif aperitivo
bar pup
broadcast emitir
broadcast televisar
camper campista
coffin ataúd
cook cocer
cook hervir
crane grúa
interim intermedio
interview entrevistar
jogging trotar
landlady sirvienta
obstinate necio
obstinate obstinado
obstinate testarudo
peanut maní
right! ¡Exacto!
right! ¡Justamente!
scratch arañazo
steal robar
sweetener edulcorante
sweetener endulzante
thaw descongelar
thief ladrón
bother fastidiar
bribe coimear
die fallecer
die morirse
dismiss despedirle
exaggerate exagerar
oppose contradercirle
spy espiar
wink guiñar
fight pelear
junk cachivaches
junk chucherías
drizzle garúa
drizzle llovizna
pseudo-rifined cursi
pseudo-rifined ordinario
sad afligido
sad angustiado
sad apenado
sad entristecido
sad triste
sleep dormir
