jacket chaqueta
cardigan saco
cardigan suéter
t-shirt camiseta
sweater buzo
sweater suéter
windbreaker chompa
windbreaker rompevientos
overalls mameluco
overalls overol
poncho poncho
jeans jeans
overcoat abrigo
shawl chal
shawl chalina
shawl estola
pajamas pijama
pajamas pishama
pajamas piyama
skirt falda
ribbon cintillo
hood capucha
earrings aretes
ring anillo
cufflinks gemelos
mascara rímel
suspenders tirantes
socks medias
slippers pantuflas
underskirt enagua
petticoart combinación
panties calzón
panties calzonarios
panties panti
brassiere sostén
zipper cierre
glasses lentes
shorts calzoncillo
folder carpeta
folder folder
valise portafolios
bag bolso
suitcase maleta
handbag cartera
rucksack mochila
cupboard alacena
faucet llave
sink lavabo
cooker cocina
refrigerator refri
refrigerator refrigeradora
pot olla
dishcloth trapito
dishcloth trapo
straw sorbete
coaster portavasos
croissant cachito
croissant cacho
roll pancito
tart cake
tart dulce
tart pastel
popcorn canguil
scales pesa
bucket balde
bucket cubeta
teat biberón
teat chupón
lighter encendedor
lighter fosforera
earphones audífonos
earphones auriculares
baffle parlantes
switch interruptor
radio radio
bedroom cuarto
bedroom dormitorio
chandelier lámpara
blanket cobija
blanket frazada
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
hanger armador
washbasin lavabo
tank tanque
bowl inodoro
bowl taza
shower ducha
rose ducha
bathtub tina
dryer secadora
landing descanso
bulb bombillo
bulb foco
stool taburete
glass vidrio
match fósforo
peg pinza
peephole mirilla
doorknob chapa
doorknob manilla
stroller coche
stroller cochecito
wrench llave
car auto
car automóvil
car carro
fender guardachoque
headlight faros
headlight focos
windsreen parabrisas
hood capó
winker direccional
winker señal
lock seguro
trunk cajuela
fender guardabarros
fender guardafangos
fender salpicadera
tire llanta
wheel rueda
van furgoneta
van camioneta
jeep todoterreno
bulldozer retroexcavadora
bus bus
bus colectivo
bus flota
handlebar volante
silencer silenciador
minibus buseta
scooter vespa
platform andén
rail carriles
rail rieles
tie travesaños
sidewalk acera
sidewalk vereda
reception recepción
stewardess azafata
bill boleto
elevator elevador
pen pluma
stapler engrampadora
stapler engrapadora
staple grampas
staple grapas
blackboard pizarra
blackboard pizarrón
paperweight pisapapeles
computer computadora
stamp estampilla
handle asa
handle manilla
slingshot catapulta
scooter monopatín
tent carpa
kite cometa
boat barca
boat canoa
lawn césped
lawn hierba
slide resbaladera
bench banca
bench banquito
poster afiche
poster cartel
poster letrero
poster rótulo
jukebox rocola
harmonica armónica
pancake crep
pancake pancake
pit pepa
pit semilla
packet caja
demijohn botella
demijohn galón
cap corcho
can envase
can lata
can tarro
colander cernidora
colander colador
colander espumador
ladle cucharón
drainboard cernidor
turner batidor
turner espátula
mixer batidora
filter filtro
tray bandeja
tray charol
cupboard aparador
playpen baranda
playpen corral
berth litera
basket canasta
clasp abrazadera
clasp agarradera
washer lavadora
bobin carrete
bobin ovillo
needle agujetas
needle palillos
cushion almohada
cushion almohadón
cushion cojín
stool banquito
q-tips cotonete
q-tips q-tip
plaster curita
sling cabestrillo
sling venda
attic altillo
attic ático
lock aldaba
wardrobe armario
wardrobe closet
wardrobe ropero
bidet bidé
raincoat impermeable
smock bata
smock batita
smock camisilla
smock mameluco
fringe flecos
mitten guantes
mitten mitones
pochette canguro
cuff basta
sandal chancletas
sandal sandalias
studs pupos
shorts calzón
apron delantal
lipstick labial
lipstick pintalabio
lipstick pintalabios
rollers bigudíes
rollers ruleros
chalk tiza
diary agenda
block cuaderno
pad bloc
pad cuaderno
checkbook cheque
photocopier copiadora
photocopier fotocopiadora
swing columpio
marbles bolas
dart dardo
hoop hula-hula
skipping soga
skateboard patineta
megaphone altavoz
megaphone altoparlante
megaphone megafonía
pinwheel veleta
parachute paracaídas
parachute parapente
frisbee frisbee
boxing box
boxing boxeo
goal arco
merry-go-round caballitos
merry-go-round carrusel
binoculars largavista
binoculars binocular
binoculars gemelos
convertible descapotable
road autopista
road avenida
road carretera
saddle asiento
handlebar manubrio
bar bar
can bidón
can caneca
can tanque
dam dique
dam represa
loudspeaker altavoz
loudspeaker altoparlante
horn pito
toilet baño
toilet servicio
bootblack limpiabotas
bootblack lustrabotas
bootblack lustrador
janitor barrendera
janitor barrendero
directory guía
bankbook libreta
bankbook tarjeta
spray atomizador
spray spray
rotary redondel
toothpaste dentífrico
blind persiana
awning carpa
awning toldo
tripod tripié
tripod trípode
battery baterías
battery pilas
wedge tranca
check-room casillero
check-room locker
carrycot canguro
carrycot portabebé
number número
strecher camilla
fans aficionados
fans barra
fans hinchada
fans hinchas
sting aguijón
food alimento
food comestible
raising levantamiento
raising subida
brook arroyo
brook riachuelo
murderer asesino
slap bofetada
slap cachetada
slap chirlazo
bar café
bar cafetería
puff golpe
puff pitada
waiter mesero
pig cerdo
pig chancho
pig marrano
pig puerco
resignation renuncia
cooking cocinada
cooking cocinar
avarice ambición
avarice avaricia
avarice codicia
shell caparazón
shell carapacho
shell cascarón
shell concha
chat charla
anger bronca
anger cólera
anger coraje
anger enojo
anger ira
anger rabia
cost costo
crossing cruce
slope cuesta
slope ladera
slope loma
slope subida
bay bahía
amusement distracción
amusement diversión
amusement pasatiempo
school colegio
school escuela
stay estada
stay estancia
miss equivocación
miss error
miss falla
financier administrador
financier financiero
bangs cerquillo
plumber plomero
stranger extranjero
stranger forastero
form formulario
form solicitud
rubber caucho
rubber resina
hunger hambre
beauty belleza
beauty bonito
beauty hermosura
beauty lindo
grass césped
grass hierba
grass pasto
grass yerba
iron hierro
concrete hormigón
hospital hospital
graduate egresado
graduate graduado
graduate licenciado
degree doctorado
degree licenciatura
degree maestría
degree título
discount liquidación
discount ofertas
