jacket saco
cardigan suéter
t-shirt playera
t-shirt t-shirt
sweater suéter
windbreaker chumpa
overalls overol
poncho poncho
jeans jeans
jeans "pantalón de lona"
overcoat abrigo
shawl chal
pajamas "la pijama"
pajamas "la pishama"
skirt falda
ribbon banda
ribbon diadema
"track suit" pants
hood capucha
"bow tie" "corbata de cuello"
"bow tie" "corbata de pajarito"
"bow tie" corbatín
"bow tie" pajarita
earrings aretes
hairnet redecilla
ring anillo
cufflinks mancuernillas
mascara máscara
mascara maybellin
mascara rímel
"tape measure" metro
suspenders tirantes
socks calcetas
socks calcetines
slippers pantuflas
heel tacón
underskirt fustán
petticoart combinación
panties calzón
brassiere brassiere
zipper zíper
"safety pin" gancho
clasp broche
glasses anteojos
glasses lentes
shorts bóxer
shorts calzoncillo
swimsuit calzoneta
swimsuit "traje de baño"
"sports shoes" tenis
folder carpeta
folder folder
valise maletín
valise portafolios
bag bolsa
bag maletín
suitcase maleta
suitcase valija
handbag bolsa
handbag cartera
rucksack mochila
"dish rack" escurridor
dishwasher "lavadora de platos"
dishwasher "máquina de lavar platos"
cupboard gabinete
faucet chorro
faucet llave
sink lavaplatos
cooker estufa
refrigerator refrigerador
refrigerator refrigeradora
pot olla
"frying pan" "el sartén"
dishcloth limpiador
dishcloth secador
dishcloth trapo
straw pajilla
coaster portavasos
"aluminum wheel" "papel de aluminio"
"thin crusted bread" "pan de ""sandwich"""
"thin crusted bread" "pan de rodaja"
"french loasus" baguet
croissant cacho
croissant croissant
roll bollo
tart pastel
sandwich sándwich
popcorn poporopo
"small bottle" bote
"small bottle" frasco
scales balanza
scales pesa
"gas cylinder" cilindro
"gas cylinder" "tambo de gas"
bucket cubeta
"baby's bottle" pacha
teat mamón
lighter encendedor
"living room" sala
"coffee table" mesa
"coffee table" "mesa de centro"
"remote control" control
earphones audífonos
baffle bocinas
switch botón
switch interruptor
switch switch
"video cassette" videocasette
radio "el radio"
bedroom cuarto
bedroom dormitorio
chandelier "lámpara de mesa de noche"
chandelier "lámpara de noche"
"night table" "mesita de noche"
blanket frazada
bedspread cubrecama
bedspread edredón
"chest of drawers" gavetero
hanger cercha
hanger gancho
washbasin lavamanos
tank depósito
tank tanque
bowl inodoro
bowl taza
bowl "taza del inodoro"
"toilet paper" "papel de baño"
"toilet paper" "papel toalet"
shower regadera
rose regadera
bathtub artesa
bathtub bañera
bathtub tina
dryer secadora
dryer "secadora de pelo"
landing descanso
bulb bombilla
bulb foco
stool banco
glass vidrio
"trash can" basurero
"trash can" "bote de basura"
match fósforo
peg pinza
"frame for drying clothes" tendedero
"lawn mower" "máquina de cortar grama"
"lawn mower" podadora
peephole visor
"door knocker" picaporte
doorknob "mango de la puerta"
doorknob perilla
stroller "carruaje de bebé"
deckchair "silla de playa"
deckchair "silla plegable"
wrench llave
"monkey wrench" "llave ajustable"
"monkey wrench" "llave estilson"
"monkey wrench" perico
car carro
"steering wheel" timón
"license plate" placa
fender bomper
headlight faroles
headlight luces
windsreen vidrio
windsreen windshield
hood capó
winker pidevía
lock cerradura
lock chapa
lock seguro
"luggage rack" parrilla
trunk baúl
"brake light" stops
"tail light" luces
fender lodera
tire llanta
wheel llanta
van camionetilla
van panel
van pickup
van camioneta
jeep jeep
trailer "casa rodante"
"water wagon" "camión cisterna"
bulldozer retro
bulldozer retroexcavadora
"concrete mixer truck" "camión de cemento"
"concrete mixer truck" "camión de mixto"
"dump truck" "camión de volteo"
bus bus
bus camioneta
bus "bus de turismo"
bus "bus extraurbano"
"petrol tank" tanque
"petrol tank" "tanque de gasolina"
handlebar timón
silencer mofle
silencer silenciador
exhaust escape
minibus microbús
scooter motoneta
platform plataforma
rail rieles
tie durmientes
"booking office" taquilla
"sleeping car" literas
sidewalk acera
sidewalk banqueta
"uneven road surface" túmulo
reception recepción
stewardess aeromoza
stewardess azafata
hitchhike "pedir jalón"
"bus stop" parada
bill boleto
elevator elevador
escalator "escalera eléctrica"
pen pluma
pen "pluma fuente"
"mechanical pencil" portaminas
"ball-point pen" bolígrafo
"ball-point pen" lapicero
"ball-point pen" pluma
"felt-tipped pen" marcador
"felt-tipped pen" "marcador fosforecente"
"felt-tipped pen" resaltador
"pencil sharpener" sacapuntas
stapler engrapadora
staple grapas
blackboard pizarrón
paperweight sujetapapeles
computer computadora
"rubber band" hule
stamp sello
stamp timbre
handle mango
handle manivela
slingshot honda
scooter patineta
tent carpa
tent "casa de campaña"
tent "tienda de campaña"
"sleeping bag" "sleeping bag"
kite barrilete
boat cayuco
boat lancha
"swimming pool" piscina
lawn grama
"street lamp" farol
"street lamp" "poste de luz"
"rubbish bin" basurero
"rubbish bin" "bote de basura"
"rubbish bin" "canasto de basura"
slide resbaladero
bench banca
"comic book" cómic
poster afiche
poster cartel
poster letrero
"shop window" mostrador
"shop window" vitrina
jukebox rocola
harmonica armónica
harmonica violineta
"hard-boiled egg" "huevo duro"
"hot dog" "hot dog"
pancake crepa
pancake panqueque
"sponge cake" pastel
pit pepita
packet caja
"slice of cheese" "queso ""kraft"""
"slice of cheese" rodaja
"plastic wrap" plástico
demijohn galón
"cigarette butt" chenca
"cigarette butt" colilla
"cigarette butt" filtro
"screw-on cap" tapa
"screw-on cap" tapadera
cap tapita
can lata
"airtight can" envase
"airtight can" frasco
colander colador
colander escurridor
ladle cucharón
drainboard cernidor
drainboard colador
turner espátula
turner paleta
mixer batidor
filter filtro
filter "filtro de agua"
"tea bag" "bolsa de té"
"tea bag" bolsita
knifegrinder afilador
knifegrinder "afilador de cuchillos"
"dinner pail" topperware
"dinner pail" "trasto plástico"
"gas cock" llave
"paella pan" cazo
"paella pan" olla
tray azafate
tray bandeja
cupboard gabinete
cupboard mueble
dishcloth limpiador
dishcloth secador
dishcloth "trapo de cocina"
playpen baranda
playpen corral
berth litera
"shopping cart" carreta
"shopping cart" carretilla
basket canasta
basket parrilla
clasp abrazadera
washer lavadora
bobin bobina
bobin carrete
"vacuum cleaner" aspiradora
needle agujas
needle "agujas de tricot"
cushion almohada
cushion cojín
"lace curtain" cortina
stool escalera
q-tips hisopo
plaster curita
sling cabestrillo
sling venda
attic ático
lock cerrojo
lock pasador
toothbrush cepillo
toothbrush "cepillo de dientes"
wardrobe armario
wardrobe closet
bidet bidé
"parabolic antenna" "antena parabólica"
"parabolic antenna" parabólica
"wire netting" malla
"wire netting" red
"corrugated iron" lámina
"corrugated iron" "lámina acanalada"
"disposable diaper" "pañal desechable"
turtleneck "cuello de tortuga"
v-neck "cuello  ""v"""
v-neck "cuello en v"
v-neck "escote en v"
"polo collar" "cuello camisero"
"polo collar" "cuello polo"
raincoat capa
raincoat impermeable
bolero chaqueta
sportshirt "camisa polo"
"round neck" "cuello redondo"
smock saquito
smock "suéter de bebé"
smock suetercito
"dress coat" frac
"dress coat" levita
"dressing gown" bata
suspenders tirantes
fringe flecos
fringe flequillos
"duffle coat" abrigo
"track suit" pants
"track suit" sudadero
mitten guantes
mitten mitones
pochette cangurera
pochette mariconera
"culotte skirt" "falda pantalón"
cuff ruedo
"sports shoes" tenis
sandal caites
sandal chanclas
sandal chancletas
sandal ginas
sandal sandalias
studs tacos
studs tarugos
"athletic shirt" camiseta
shorts boxer
shorts calzoncillo
"panty hose" "panti hose"
"panty hose" pantimedias
"panty hose" pantis
apron delantal
ring anillo
ring argolla
"contact lens" "lentes de contacto"
"powder box" cosmetiquera
"powder box" polvera
lipstick "crayón de labios"
lipstick "lápiz labial"
lipstick pintalabios
rollers tubos
chalk yeso
diary agenda
"filing cabinet" archivo
block bloc
block "cuaderno de espiral"
block "cuaderno universitario"
block cuarderno
pad "bloc de dibujo"
pad "cuaderno de croquis"
checkbook chequera
checkbook talonario
"tape recorder" grabadora
photocopier fotocopiadora
swing columpio
marbles cincos
leapfrog "saltar al burro"
leapfrog "salto de rana"
dart dardo
hoop hula-hula
skipping cuerda
skipping saltacuerdas
"blindman's buff" "gallina ciega"
"cup and ball" capirucho
skateboard monopatín
skateboard patineta
megaphone altavoz
megaphone altoparlante
pinwheel reguilete
"stufffed toy" "muñeco de peluche"
"stufffed toy" peluche
parachute paracaídas
frisbee frisbee
"chair lift" teleférico
boxing box
boxing boxeo
goal arco
goal portería
merry-go-round carrusel
"video camera" cámara
"video camera" "cámara de vídeo"
"ferris wheel" "rueda  chicago"
binoculars largavista
binoculars binocular
convertible convertible
convertible descapotable
air-bag "bolsa de aire"
"road roller" aplanadora
"road roller" rodillo
road carretera
"median strip" arriate
"median strip" camellón
"pedestrian overpass" pasarela
saddle asiento
handlebar timón
bar bar
bar cafetería
"conveyor belt" "banda transportadora"
can tambo
