jacket saco
cardigan suéter
t-shirt camiseta
sweater suéter
windbreaker chumpa
overalls overol
poncho mañanita
poncho poncho
jeans azulón
jeans jeans
overcoat abrigo
shawl chal
shawl pashmina
pajamas "la payama"
pajamas "la piyama"
skirt falda
ribbon vincha
"track suit" buzo
hood capucha
hood gorro
"bow tie" corbatín
earrings aretes
earrings argollas
earrings aritos
hairnet redecilla
ring anillo
cufflinks mancuernas
cufflinks mancuernillas
mascara rímel
"tape measure" "cinta métrica"
"tape measure" metro
suspenders tirantes
socks calcetines
slippers pantuflas
heel tacón
heel "tacón alto"
underskirt saya
petticoart forro
panties blúmer
panties calzón
zipper zíper
"safety pin" gancho
clasp broche
glasses anteojos
glasses lentes
shorts bóxer
shorts calzoncillo
swimsuit "traje de baño"
"sports shoes" tenis
folder folder
valise maletín
bag "bolsa de mano"
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
"dish rack" escurridor
dishwasher "lavadora de platos"
dishwasher lavaplatos
cupboard alacena
cupboard "mueble de cocina"
faucet grifo
faucet llave
sink fregadero
sink lavaplatos
sink lavatrastes
cooker estufa
refrigerator refri
refrigerator refrigeradora
pot olla
"frying pan" "el sartén"
"frying pan" freidora
"frying pan" fridera
"frying pan" "la sartén"
dishcloth trapo
straw pajilla
coaster portavasos
"aluminum wheel" "papel aluminio"
"aluminum wheel" "papel de aluminio"
"thin crusted bread" "pan molde"
"french loasus" baguet
croissant croissant
roll bollito
roll bollo
roll pancito
tart pastel
sandwich sándwich
popcorn palomitas
popcorn pocorn
"small bottle" bote
"small bottle" frasco
scales balanza
scales báscula
scales pesa
"gas cylinder" chimbo
"gas cylinder" cilindro
bucket balde
"baby's bottle" biberón
"baby's bottle" pepe
teat mamadera
lighter encendedor
"living room" sala
"living room" salita
"coffee table" "mesita de centro"
"remote control" control
earphones audífonos
earphones cascos
baffle parlantes
baffle speakers
switch botón
switch interruptor
switch switch
"video cassette" videocasette
radio "el radio"
radio "la radio"
bedroom cuarto
bedroom dormitorio
bedroom habitación
chandelier lámpara
chandelier lamparita
"night table" "mesita de noche"
blanket cobija
bedspread cubrecama
bedspread edredón
"chest of drawers" armario
"chest of drawers" cómoda
hanger gancho
washbasin lavamanos
tank tanque
tank "tanque del servicio"
bowl servicio
bowl "taza del inodoro"
"toilet paper" "papel higiénico"
shower ducha
rose ducha
bathtub bañera
dryer pistola
dryer secadora
landing grada
landing peldaño
bulb bombillo
bulb foco
stool banco
glass vidrio
"trash can" basurero
"trash can" tonel
match fósforo
peg gancho
peg "gancho para ropa"
"frame for drying clothes" tendedero
"lawn mower" podadora
peephole ojo
peephole "ojo de pescado"
"door knocker" llamador
doorknob perilla
stroller coche
stroller cochecito
wrench llave
"monkey wrench" "llave ajustable"
"monkey wrench" "llave estilson"
car carro
"steering wheel" timón
"license plate" placa
fender bomper
fender parachoques
headlight focos
headlight luces
windsreen vidrio
hood capó
winker vías
lock seguro
"luggage rack" parrilla
trunk baúl
trunk cajuela
"brake light" "luces de freno"
"brake light" stops
"tail light" luces
"tail light" "luces de atrás"
fender guardafangos
tire llanta
tire rueda
wheel rueda
van busito
van camioneta
van pickup
van camioncito
van microbús
jeep jeep
trailer carro-casa
"water wagon" cisterna
bulldozer excavadora
bulldozer "máquina excavadora"
bulldozer retroexcavadora
"concrete mixer truck" "camión de cemento"
"concrete mixer truck" "camión mezcladora"
"concrete mixer truck" mezcladora
"dump truck" volqueta
bus autobús
bus bus
bus autobús
bus bus
"petrol tank" tanque
handlebar manubrio
silencer escape
silencer silenciador
exhaust escape
minibus busito
minibus rapidito
scooter moto
scooter motoneta
scooter scooter
platform andén
rail líneas
rail rieles
tie durmientes
"booking office" taquilla
"booking office" ventanilla
"sleeping car" camarote
sidewalk acera
"uneven road surface" túmulo
"uneven road surface" túmulos
