jacket saco
cardigan suéter
t-shirt camiseta
sweater suéter
windbreaker chumpa
overalls overol
poncho mañanita
poncho poncho
jeans azulón
jeans jeans
overcoat abrigo
shawl chal
shawl pashmina
pajamas payama
pajamas piyama
skirt falda
ribbon vincha
hood capucha
hood gorro
earrings aretes
earrings argollas
earrings aritos
hairnet redecilla
ring anillo
cufflinks mancuernas
cufflinks mancuernillas
mascara rímel
suspenders tirantes
socks calcetines
slippers pantuflas
heel tacón
underskirt saya
petticoart forro
panties blúmer
panties calzón
zipper zíper
clasp broche
glasses anteojos
glasses lentes
shorts bóxer
shorts calzoncillo
folder folder
valise maletín
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
dishwasher lavaplatos
cupboard alacena
faucet grifo
faucet llave
sink fregadero
sink lavaplatos
sink lavatrastes
cooker estufa
refrigerator refri
refrigerator refrigeradora
pot olla
dishcloth trapo
straw pajilla
coaster portavasos
croissant croissant
roll bollito
roll bollo
roll pancito
tart pastel
sandwich sándwich
popcorn palomitas
popcorn pocorn
scales balanza
scales báscula
scales pesa
bucket balde
teat mamadera
lighter encendedor
earphones audífonos
earphones cascos
baffle parlantes
baffle speakers
switch botón
switch interruptor
switch switch
radio radio
bedroom cuarto
bedroom dormitorio
bedroom habitación
chandelier lámpara
chandelier lamparita
blanket cobija
bedspread cubrecama
bedspread edredón
hanger gancho
washbasin lavamanos
tank tanque
bowl servicio
shower ducha
rose ducha
bathtub bañera
dryer pistola
dryer secadora
landing grada
landing peldaño
bulb bombillo
bulb foco
stool banco
glass vidrio
match fósforo
peg gancho
peephole ojo
doorknob perilla
stroller coche
stroller cochecito
wrench llave
car carro
fender bomper
fender parachoques
headlight focos
headlight luces
windsreen vidrio
hood capó
winker vías
lock seguro
trunk baúl
trunk cajuela
fender guardafangos
tire llanta
tire rueda
wheel rueda
van busito
van camioneta
van pickup
van camioncito
van microbús
jeep jeep
trailer carro-casa
bulldozer excavadora
bulldozer retroexcavadora
bus autobús
bus bus
handlebar manubrio
silencer escape
silencer silenciador
exhaust escape
minibus busito
minibus rapidito
scooter moto
scooter motoneta
scooter scooter
platform andén
rail líneas
rail rieles
tie durmientes
sidewalk acera
reception lobby
reception recepción
stewardess aeromoza
stewardess azafata
bill boleto
bill ticket
pen bolígrafo
pen pluma
stapler grapadora
staple grapas
blackboard pizarra
blackboard pizarrón
paperweight pisapapeles
computer computadora
stamp estampilla
stamp sello
handle mango
slingshot honda
kite barrilete
kite cometa
boat bote
boat cayuco
lawn grama
slide deslizador
slide tobogán
bench banca
poster afiche
poster cartel
jukebox rocola
harmonica armónica
harmonica dulzaina
pancake panqueque
pit semilla
demijohn botellón
demijohn galón
cap chapa
cap tapa
can botella
can envase
colander colador
colander escurridor
ladle cucharón
drainboard cernidor
turner espátula
mixer batidor
mixer batidora
filter filtro
knifegrinder afilador
knifegrinder lima
tray azafate
tray charola
cupboard mueble
playpen baranda
playpen barandal
playpen corralito
berth litera
basket canasta
clasp abrazadera
washer lavadora
bobin carrete
cushion cojín
stool banquito
stool taburete
q-tips hisopo
plaster curita
sling cabestrillo
attic ático
attic desván
lock aldaba
lock cerrojo
lock pasador
toothbrush cepillo
wardrobe armario
wardrobe closet
wardrobe ropero
bidet bidé
raincoat capote
bolero bolerito
bolero bolero
sportshirt polo
smock mameluco
fringe flecos
mitten guantes
pochette cangurera
cuff doblez
sandal sandalias
studs tacos
shorts boxer
shorts boxers
shorts calzoncillos
apron delantal
lipstick labial
lipstick lipstick
rollers rulos
chalk tiza
chalk yeso
diary agenda
block libreta
checkbook chequera
checkbook talonario
photocopier fotocopiadora
swing columpio
marbles canicas
marbles mables
marbles maules
dart dardo
hoop aro
hoop hula-hoop
skipping cuerda
skateboard patineta
megaphone altavoz
megaphone megáfono
pinwheel hélice
pinwheel rehilete
