jacket saco
cardigan jompa
cardigan saquito
cardigan suéter
t-shirt camiseta
t-shirt playera
t-shirt suéter
sweater suéter
windbreaker cazadora
windbreaker chamarra
windbreaker jompa
windbreaker rompevientos
overalls overol
overalls peto
poncho jorongo
poncho mañanita
poncho poncho
poncho ruana
jeans jeans
jeans tramos
jeans vaquero
overcoat abrigo
overcoat chaqueta
shawl chal
shawl chalina
shawl estola
shawl pashmina
shawl rebozo
pajamas piyama
skirt falda
ribbon balerina
ribbon banda
ribbon cinta
ribbon diadema
ribbon huincha
ribbon tiara
hood capucha
hood capuchón
hood gorro
earrings aretes
earrings arracadas
earrings pendientes
hairnet red
hairnet redecilla
ring anillo
ring sortija
cufflinks gemelos
cufflinks mancuernas
cufflinks mancuernillas
mascara máscara
mascara maybellin
mascara rímel
suspenders tirantes
socks calcetas
socks calcetines
socks medias
slippers mafaldas
slippers pantuflas
heel tacón
underskirt enaguas
underskirt fondo
underskirt refajo
petticoart enagua
petticoart fondo
panties calzón
panties calzones
panties pantaleta
panties panti
brassiere brassiere
brassiere corpiño
brassiere sostén
zipper cierre
zipper zíper
clasp botón
clasp broche
glasses anteojos
glasses gafas
glasses lentes
shorts bóxer
shorts trusa
folder carpeta
folder folder
valise maletín
valise portafolios
bag bolsa
bag bolso
bag maleta
bag maletín
suitcase maleta
suitcase petaca
suitcase veliz
handbag bolsa
handbag bolso
rucksack mochila
rucksack morral
dishwasher lavavajillas
cupboard alacena
cupboard anaquel
cupboard estante
cupboard gabinete
cupboard trinchador
faucet llave
sink fregadero
sink lavabo
sink lavatrastes
sink tarja
cooker anafre
cooker estufa
cooker parrilla
refrigerator refri
refrigerator refrigerador
pot cacerola
pot cazo
pot cazuela
pot olla
dishcloth secador
dishcloth trapo
straw popote
coaster portavasos
croissant cuerno
croissant croissant
croissant cuernito
roll bisquet
roll bolillo
roll bollito
roll bollo
tart dulce
tart pastel
tart quequi
sandwich canapé
sandwich croissant
sandwich emparedado
sandwich marinitas
sandwich sándwich
popcorn palomitas
scales balanza
scales báscula
bucket balde
bucket cubeta
teat chupón
teat mamila
lighter encendedor
earphones audífonos
baffle bafles
baffle bocinas
baffle speakers
switch apagador
switch botón
switch encendedor
switch interruptor
switch switch
radio radio
bedroom alcoba
bedroom cuarto
bedroom recámara
chandelier lámpara
blanket cobertor
blanket cobija
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
hanger gancho
hanger tubo
washbasin lavabo
washbasin lavamanos
tank depósito
tank tanque
bowl excusado
bowl inodoro
bowl sanitario
bowl taza
bowl WC
shower regadera
rose regadera
bathtub tina
dryer pistola
dryer secador
dryer secadora
landing descanso
bulb foco
stool banco
stool banquito
stool taburete
glass cristal
glass vidrio
match cerillo
match fósforo
peg pinza
peephole mirilla
doorknob manija
doorknob perilla
stroller carriola
stroller porta-bebé
deckchair camastro
wrench llave
car auto
car automóvil
car carro
car coche
fender defensa
headlight faros
headlight focos
headlight luces
headlight silbines
windsreen cristal
windsreen parabrisa
windsreen parabrisas
hood cofre
hood tapa
winker cuarto
winker direccional
winker intermitente
lock cerradura
lock manija
lock seguro
trunk cajuela
fender guardafangos
fender guardapolvo
fender polvera
fender salpicadera
tire llanta
wheel llanta
wheel rueda
van camioneta
van microbús
van pickup
van vagoneta
van van
van camionetita
van panel
jeep jeep
jeep todoterreno
trailer camper
trailer remolque
trailer traila
trailer trailer
bulldozer buldózer
bulldozer excavadora
bus autobús
bus camión
bus metrobús
bus micro
bus microbús
bus rutero
handlebar dirección
handlebar manubrio
silencer escape
silencer mofle
silencer silenciador
exhaust escape
minibus autobús
minibus combi
minibus micro
minibus microbús
minibus minibús
minibus pesera
minibus van
scooter minimoto
scooter moto
scooter motoneta
scooter scooter
scooter vespa
platform andén
rail rieles
rail vías
tie durmientes
sidewalk acera
sidewalk banqueta
reception lobby
reception recepción
stewardess aeromoza
stewardess azafata
bill boleto
elevator elevador
pen bolígrafo
pen estilógrafo
stapler engrapadora
stapler grapadora
staple grapas
blackboard pizarrón
paperweight pisapapeles
computer computadora
computer lap
computer Mac
stamp estampilla
stamp timbre
handle asa
handle mango
handle manija
handle manivela
slingshot charpe
slingshot resortera
slingshot tirador
kite cometa
kite papalote
boat bote
boat canoa
boat cayuco
boat lancha
boat trajinera
lawn césped
lawn pasto
slide resbaladera
slide resbaladilla
slide tobogán
bench banca
poster anuncio
poster cartel
poster cartelón
poster poster
jukebox rocola
harmonica armónica
pancake crepa
pit hueso
pit semilla
packet cartón
packet empaque
demijohn bidón
demijohn botella
demijohn botellón
demijohn galón
demijohn garrafa
demijohn garrafón
cap corcholata
can bote
can envase
can lata
colander cernidora
colander colador
colander escurridor
ladle cuchara
ladle cucharón
drainboard cernidora
drainboard coladera
turner batidor
turner espátula
turner paleta
mixer barillas
mixer batidor
mixer batidora
filter filtro
filter purificador
knifegrinder afilador
tray bandeja
tray charola
cupboard trastero
cupboard trincheros
cupboard vitrina
dishcloth magitel
playpen barandal
playpen corral
berth litera
basket canasta
