jacket saco
cardigan abrigo
cardigan chaqueta
cardigan suéter
t-shirt camiseta
t-shirt "camiseta polo"
sweater suéter
windbreaker chaqueta
overalls overol
poncho poncho
jeans azulón
jeans "blue jean"
jeans "blue jeans"
jeans jeans
shawl bufanda
shawl chal
shawl chalina
shawl pañoleta
pajamas "la piyama"
skirt falda
ribbon cintillo
ribbon diadema
"track suit" buzo
"track suit" sudadera
"track suit" "traje deportivo"
hood capote
hood capucha
hood gorro
"bow tie" "corbata de cuello"
"bow tie" corbatín
"bow tie" lazo
earrings aretes
earrings argollas
earrings aros
earrings chapas
earrings pendientes
earrings zarcillos
hairnet redecilla
ring anillo
ring sortija
cufflinks broches
cufflinks gemelos
cufflinks mancuernas
cufflinks mancuernillas
mascara marbelline
mascara rímel
"tape measure" centímetro
"tape measure" cinta
suspenders tirantes
socks calcetas
socks calcetines
slippers chancletas
slippers chinelas
slippers pantuflas
heel tacón
heel "tacón alto"
underskirt fustán
underskirt justán
petticoart camisón
petticoart combinación
panties blúmer
panties calzón
panties panti
brassiere brassiere
brassiere sostén
zipper zíper
"safety pin" alfiler
"safety pin" gacilla
clasp broche
glasses anteojos
glasses gafas
glasses lentes
shorts bóxer
shorts calzoncillo
swimsuit "traje de baño"
swimsuit "vestido de baño"
"sports shoes" deportivos
"sports shoes" tenis
"sports shoes" "zapatos tenis"
folder carpeta
folder folder
folder portafolios
valise maletín
valise portafolios
bag bolso
bag "bolso de mano"
bag maleta
bag maletín
suitcase maleta
suitcase valija
handbag bolso
handbag cartera
rucksack mochila
"dish rack" escurridor
"dish rack" platera
"dish rack" platero
"dish rack" secaplatos
dishwasher "lavadora de platos"
dishwasher lavaplatos
dishwasher "máquina de lavar platos"
cupboard alacena
cupboard anaquel
cupboard aparador
cupboard estante
cupboard gabinete
cupboard "mueble de cocina"
faucet grifo
faucet llave
faucet "llave de chorro"
faucet paja
sink fregadero
sink lavamanos
sink lavaplatos
sink lavatrastes
cooker cocina
cooker estufa
refrigerator refri
refrigerator refrigerador
refrigerator refrigeradora
pot cazuela
pot olla
"frying pan" cazuela
"frying pan" "el sartén"
"frying pan" freidora
"frying pan" paila
dishcloth limpiador
dishcloth limpión
dishcloth paño
dishcloth secador
dishcloth toalla
dishcloth trapo
straw pajilla
coaster platito
coaster portavasos
"aluminum wheel" "papel aluminio"
"aluminum wheel" "papel de aluminio"
"thin crusted bread" molde
"thin crusted bread" "pan cortado"
"thin crusted bread" "pan de ""sandwich"""
"thin crusted bread" "pan de molde"
"french loasus" baguet
"french loasus" "barra de pan"
"french loasus" marqueta
"french loasus" "pan francés"
croissant cuerno
croissant cachito
croissant cacho
croissant croissant
roll bollito
roll bollo
roll "pan francés"
roll "pan redondo"
roll pancito
tart queque
tart torta
sandwich croissant
popcorn palomitas
popcorn pocorn
"small bottle" frasco
"small bottle" vaso
scales balanza
scales pesa
scales romana
"gas cylinder" cilindro
"gas cylinder" tanque
bucket balde
bucket cubeta
bucket tina
"baby's bottle" biberón
"baby's bottle" pacha
teat chupeta
teat mamadera
lighter chispero
lighter encendedor
"living room" sala
"living room" salita
"coffee table" "mesa de centro"
"coffee table" mesita
"coffee table" "mesita de centro"
"coffee table" "mesita de sala"
"remote control" control
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle parlantes
switch apagador
switch encendedor
switch interruptor
switch switch
"video cassette" cassette
"video cassette" video
"video cassette" videocasette
radio "el radio"
radio "la radio"
bedroom aposento
bedroom cuarto
bedroom dormitorio
bedroom habitación
chandelier lámpara
chandelier "lámpara de la mesita de noche"
chandelier "lámpara de mesa de noche"
chandelier "lámpara de noche"
chandelier "lamparita de noche"
"night table" "mesa de noche"
"night table" "mesita de noche"
blanket cobertor
blanket cobija
blanket frazada
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
"chest of drawers" closet
"chest of drawers" cómoda
"chest of drawers" "cómoda de ropa"
"chest of drawers" gavetero
"chest of drawers" ropero
hanger percha
hanger tubo
washbasin lavamanos
tank estanque
tank tanque
tank "tanque de agua del inodoro"
tank "tanque del inodoro"
bowl inodoro
bowl "servicio higiénico"
bowl "taza del inodoro"
"toilet paper" "papel de baño"
"toilet paper" "papel higiénico"
"toilet paper" "papel sanitario"
"toilet paper" "rollo de papel"
shower baño
shower ducha
shower regadera
rose ducha
rose regadera
bathtub bañera
bathtub tina
bathtub "tina de baño"
dryer pistola
dryer secador
dryer secadora
landing descanso
landing grada
landing peldaño
bulb bujía
stool banco
stool banqueta
stool banquillo
stool butaca
stool "pata de gallina"
stool taburete
glass vidrio
"trash can" basurero
"trash can" "bote de basura"
"trash can" papelera
match fósforo
peg gancho
peg prensarropa
"frame for drying clothes" tendedero
"lawn mower" cortadora
"lawn mower" podadora
peephole "ojo mágico"
peephole visor
"door knocker" aldaba
doorknob "mango de la puerta"
stroller carrito
stroller coche
stroller cochecito
deckchair cheslon
deckchair perezosa
deckchair playera
deckchair "silla playera"
deckchair "silla plegable"
deckchair "silla plegadiza"
wrench llave
wrench "llave de tuercas"
"monkey wrench" llave
"monkey wrench" "llave estilson"
"monkey wrench" "llave inglesa"
car auto
car automóvil
car carro
"steering wheel" manubrio
"steering wheel" timón
"steering wheel" volante
"license plate" placa
fender bomper
fender parachoques
headlight faroles
headlight faros
headlight focos
headlight luces
windsreen parabrisa
windsreen parabrisas
windsreen vidrio
hood capota
hood tapa
winker pidevía
lock seguro
"luggage rack" canasta
"luggage rack" parrilla
trunk cajuela
trunk maletero
trunk valijera
"brake light" "luces de atrás"
"brake light" "luces de freno"
"brake light" "luces de stop"
"brake light" stops
"tail light" "luces de atrás"
"tail light" "luces traseras"
fender guardafangos
tire llanta
wheel rueda
van microbús
van camioncito
van camioneta
van camionetita
van furgoneta
van pickup
jeep "cuatro por cuatro"
jeep "doble tracción"
jeep jeep
jeep landrover
jeep todoterreno
trailer camper
trailer "casa rodante"
"water wagon" cisterna
"water wagon" pipa
bulldozer buldózer
bulldozer caterpillar
bulldozer "máquina excavadora"
bulldozer "pala mecánica"
"concrete mixer truck" "camión con mezcladora"
"concrete mixer truck" "camión de cemento"
"concrete mixer truck" "camión mezcladora"
"concrete mixer truck" mezcladora
"concrete mixer truck" "mezcladora de cemento"
"concrete mixer truck" "mezcladora de concreto"
"dump truck" "camión de volquete"
"dump truck" volquete
bus autobús
bus bus
bus ruta
bus tuc
bus bus
bus interlocal
"petrol tank" "depósito de gasolina"
"petrol tank" tanque
"petrol tank" "tanque de gasolina"
handlebar manubrio
silencer mofle
silencer silenciador
silencer "tubo de escape"
exhaust escape
exhaust mofle
exhaust "tubo de escape"
minibus microbús
scooter minimoto
scooter moto
scooter motoneta
scooter vespa
rail carriles
rail rieles
tie durmientes
"booking office" boletería
"booking office" taquilla
"booking office" "venta de tickets"
"booking office" ventanilla
"sleeping car" "cama de dos pisos"
"sleeping car" camarote
"sleeping car" literas
sidewalk acera
sidewalk andén
"uneven road surface" "policía acostado"
"uneven road surface" "policía dormido"
"uneven road surface" "reductor de velocidad"
reception lobby
reception recepción
stewardess aeromoza
stewardess azafata
hitchhike "pedir ""ride"""
hitchhike "pedir aventón"
"bus stop" parada
bill boleto
bill pasaje
bill ticket
bill tiquete
elevator elevador
escalator "escalera eléctrica"
escalator "escalera mecánica"
pen bolígrafo
pen pluma
pen "pluma estilográfica"
pen "pluma fuente"
"mechanical pencil" "lápiz de mina"
"mechanical pencil" "lápiz mecánico"
"ball-point pen" bolígrafo
"ball-point pen" lapicero
"felt-tipped pen" marcador
"felt-tipped pen" "marcador fosforecente"
"felt-tipped pen" resaltador
"pencil sharpener" sacapuntas
"pencil sharpener" tajador
stapler engrapadora
staple grampas
staple grapas
blackboard pizarra
blackboard pizarrón
paperweight prensapapeles
computer computadora
computer micro
"rubber band" hule
stamp estampilla
stamp sello
stamp "sello postal"
stamp timbre
handle mango
handle manigueta
slingshot honda
slingshot hulera
slingshot tiradora
scooter patineta
scooter scooter
tent carpa
tent "casa de campaña"
"sleeping bag" esliping
"sleeping bag" sleeping
"sleeping bag" "sleeping bag"
kite barrilete
kite cometa
kite lechuza
kite papalote
boat bote
boat canoa
boat cayuco
boat lancha
"swimming pool" piscina
lawn césped
lawn grama
"street lamp" farol
"street lamp" luminaria
"street lamp" "poste de luz"
"rubbish bin" basurero
"rubbish bin" "bote de basura"
"rubbish bin" "cesto de basura"
slide rampa
slide resbaladero
slide tobogán
bench banca
bench escaño
"comic book" caricatura
"comic book" cómic
"comic book" historieta
"comic book" muñequitos
"comic book" paquines
"comic book" "tiras cómicas"
poster afiche
poster anuncio
poster cartel
poster letrero
poster poster
poster rótulo
"shop window" aparador
"shop window" escaparate
"shop window" mostrador
"shop window" vidriera
"shop window" vitrina
jukebox rocola
jukebox roconola
harmonica armónica
"hard-boiled egg" "huevo duro"
"hot dog" "hot dog"
"hot dog" "perro caliente"
pancake crepa
pancake "hot cake"
pancake pancake
"sponge cake" pastel
"sponge cake" queque
"sponge cake" torta
pit corazón
pit semilla
packet "six pack"
"slice of cheese" rodaja
"plastic wrap" bolsa
"plastic wrap" "bolsa plástica"
"plastic wrap" "bolsitas plásticas"
