jacket saco
cardigan abrigo
cardigan chaqueta
cardigan suéter
t-shirt camiseta
sweater suéter
windbreaker chaqueta
overalls overol
poncho poncho
jeans azulón
jeans jeans
shawl bufanda
shawl chal
shawl chalina
shawl pañoleta
pajamas piyama
skirt falda
ribbon cintillo
ribbon diadema
hood capote
hood capucha
hood gorro
earrings aretes
earrings argollas
earrings aros
earrings chapas
earrings pendientes
earrings zarcillos
hairnet redecilla
ring anillo
ring sortija
cufflinks broches
cufflinks gemelos
cufflinks mancuernas
cufflinks mancuernillas
mascara marbelline
mascara rímel
suspenders tirantes
socks calcetas
socks calcetines
slippers chancletas
slippers chinelas
slippers pantuflas
heel tacón
underskirt fustán
underskirt justán
petticoart camisón
petticoart combinación
panties blúmer
panties calzón
panties panti
brassiere brassiere
brassiere sostén
zipper zíper
clasp broche
glasses anteojos
glasses gafas
glasses lentes
shorts bóxer
shorts calzoncillo
folder carpeta
folder folder
folder portafolios
valise maletín
valise portafolios
bag bolso
bag maleta
bag maletín
suitcase maleta
suitcase valija
handbag bolso
handbag cartera
rucksack mochila
dishwasher lavaplatos
cupboard alacena
cupboard anaquel
cupboard aparador
cupboard estante
cupboard gabinete
faucet grifo
faucet llave
faucet paja
sink fregadero
sink lavamanos
sink lavaplatos
sink lavatrastes
cooker cocina
cooker estufa
refrigerator refri
refrigerator refrigerador
refrigerator refrigeradora
pot cazuela
pot olla
dishcloth limpiador
dishcloth limpión
dishcloth paño
dishcloth secador
dishcloth toalla
dishcloth trapo
straw pajilla
coaster platito
coaster portavasos
croissant cuerno
croissant cachito
croissant cacho
croissant croissant
roll bollito
roll bollo
roll pancito
tart queque
tart torta
sandwich croissant
popcorn palomitas
popcorn pocorn
scales balanza
scales pesa
scales romana
bucket balde
bucket cubeta
bucket tina
teat chupeta
teat mamadera
lighter chispero
lighter encendedor
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle parlantes
switch apagador
switch encendedor
switch interruptor
switch switch
radio radio
bedroom aposento
bedroom cuarto
bedroom dormitorio
bedroom habitación
chandelier lámpara
blanket cobertor
blanket cobija
blanket frazada
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
hanger percha
hanger tubo
washbasin lavamanos
tank estanque
tank tanque
bowl inodoro
shower baño
shower ducha
shower regadera
rose ducha
rose regadera
bathtub bañera
bathtub tina
dryer pistola
dryer secador
dryer secadora
landing descanso
landing grada
landing peldaño
bulb bujía
stool banco
stool banqueta
stool banquillo
stool butaca
stool taburete
glass vidrio
match fósforo
peg gancho
peg prensarropa
peephole visor
stroller carrito
stroller coche
stroller cochecito
deckchair cheslon
deckchair perezosa
deckchair playera
wrench llave
car auto
car automóvil
car carro
fender bomper
fender parachoques
headlight faroles
headlight faros
headlight focos
headlight luces
windsreen parabrisa
windsreen parabrisas
windsreen vidrio
hood capota
hood tapa
winker pidevía
lock seguro
trunk cajuela
trunk maletero
trunk valijera
fender guardafangos
tire llanta
wheel rueda
van microbús
van camioncito
van camioneta
van camionetita
van furgoneta
van pickup
jeep jeep
jeep landrover
jeep todoterreno
trailer camper
bulldozer buldózer
bulldozer caterpillar
bus autobús
bus bus
bus ruta
bus tuc
bus interlocal
handlebar manubrio
silencer mofle
silencer silenciador
exhaust escape
exhaust mofle
minibus microbús
scooter minimoto
scooter moto
scooter motoneta
scooter vespa
rail carriles
rail rieles
tie durmientes
sidewalk acera
sidewalk andén
reception lobby
reception recepción
stewardess aeromoza
stewardess azafata
bill boleto
bill pasaje
bill ticket
bill tiquete
elevator elevador
pen bolígrafo
pen pluma
stapler engrapadora
staple grampas
staple grapas
blackboard pizarra
blackboard pizarrón
paperweight prensapapeles
computer computadora
computer micro
stamp estampilla
stamp sello
stamp timbre
handle mango
handle manigueta
slingshot honda
slingshot hulera
slingshot tiradora
scooter patineta
scooter scooter
tent carpa
kite barrilete
kite cometa
kite lechuza
kite papalote
boat bote
boat canoa
boat cayuco
boat lancha
lawn césped
lawn grama
slide rampa
slide resbaladero
slide tobogán
bench banca
bench escaño
poster afiche
poster anuncio
poster cartel
poster letrero
poster poster
poster rótulo
jukebox rocola
jukebox roconola
harmonica armónica
pancake crepa
pancake pancake
pit corazón
pit semilla
demijohn bidón
demijohn galón
cap corcho
cap tapa
cap tapón
can botella
can envase
colander colador
ladle cuchara
ladle cucharón
drainboard colador
turner batidor
turner espátula
turner paleta
mixer batidora
filter filtro
knifegrinder afilador
knifegrinder esmeril
knifegrinder lima
tray bandeja
tray charola
cupboard mueble
playpen baranda
playpen barandal
berth litera
basket canasta
clasp agarradera
washer lavadora
bobin bobina
needle agujas
cushion almohada
stool escalera
q-tips aplicador
q-tips hisopo
q-tips palillo
plaster curita
sling cabestrillo
sling venda
attic azotea
lock aldaba
lock pasador
wardrobe closet
wardrobe ropero
raincoat capote
raincoat impermeable
sportshirt camisa
sportshirt camiseta
smock suetercito
fringe flecos
mitten guantes
pochette cangurera
pochette canguro
cuff ruedo
sandal caites
sandal chinelas
sandal ginas
sandal sandalias
studs tacos
shorts boxer
shorts calzoncillos
apron delantal
ring argolla
lipstick labial
rollers rollos
rollers rulos
chalk tiza
diary agenda
pad bloc
checkbook factura
checkbook talonario
photocopier fotocopiadora
swing columpio
marbles canicas
marbles chibolas
dart dardo
dart ruleta
hoop hula-hula
skipping cuerda
skipping saltador
skateboard monopatín
skateboard patineta
megaphone amplificador
megaphone bocina
megaphone megáfono
megaphone parlante
parachute paracaídas
frisbee frisbee
frisbee platillo
boxing boxeo
goal arco
goal portería
merry-go-round caballitos
binoculars binocular
binoculars prismáticos
convertible convertible
convertible deportivo
road carretera
saddle asiento
bar barra
can barril
can bidón
can tanque
dam dique
dam presa
loudspeaker altavoz
loudspeaker altoparlante
loudspeaker amplificador
loudspeaker parlante
horn bocina
horn pito
toilet baño
toilet sanitario
toilet servicio
bootblack limpiabotas
bootblack lustrador
janitor afanadora
janitor conserje
janitor empleada
janitor muchacha
janitor sirvienta
directory directorio
directory guía
bankbook libreta
spray aerosol
spray spray
rotary rotonda
toothpaste pasta
loudspeaker megáfono
blind cortina
blind persiana
awning carpa
awning pérgola
awning toldo
tripod trípode
battery baterías
pushcart carretilla
pushcart carrito
wedge cuña
wedge taco
check-room casillero
check-room locker
drain alcantarilla
drain registro
carrycot canguro
carrycot mochila
number distintivo
number número
strecher camilla
fans aficionados
fans fanaticada
sting aguijón
sting ponzoña
apricot albaricoque
food alimento
raising levantada
raising subida
brook arroyo
brook cañada
brook quebrada
murderer asesino
slap bofetada
slap cachetada
slap palmada
bar bar
bar cafetería
bar cafetín
bar comedor
puff chupada
puff fumada
puff golpe
puff jalada
waiter mesero
pig cerdo
pig chancho
pig cochino
pig lechón
pig marrano
pig puerco
resignation renuncia
cooking cocida
cooking hervida
avarice ambición
avarice avaricia
avarice codicia
shell caparazón
shell concha
chat charla
chat conversación
chat plática
anger cólera
anger coraje
anger enojo
anger rabia
cost costo
cost gasto
crossing cruce
slope cuesta
slope ladera
slope pendiente
bay bahía
amusement entretenimiento
amusement pasatiempo
school colegio
school escuela
school instituto
school pre-escolar
stay estadía
stay estancia
stay permanencia
miss equivocación
miss error
miss falla
financier analista
financier consultor
financier experto
financier financiero
bangs copete
bangs fleco
bangs flequillo
bangs mechón
plumber fontanero
plumber plomero
stranger extranjero
stranger foráneo
form cuestionario
form formato
form formulario
rubber leche
rubber resina
hunger hambre
hunger hambruna
beauty belleza
beauty bonito
beauty hermosura
beauty lindo
grass césped
grass grama
grass maleza
grass monte
grass yerba
grass zacate
iron fierro
iron hierro
concrete concreto
hospital hospital
graduate graduado
graduate licenciado
graduate profesional
degree licenciatura
discount descuento
discount especial
discount liquidación
discount ofertas
discount promoción
discount rebaja
discount remate
call llamada
arrival llegada
whip chilillo
whip látigo
teacher maestro
teacher profesor
weeds charral
weeds matorral
spring fuente
spring manantial
butter crema
butter nata
block manzana
cheek cachetes
cheek mejillas
peach melocotón
monkey chango
monkey chimpancé
monkey mico
monkey mono
mosquito mosquito
mosquito zancudo
jackknife navaja
worker jornalero
worker obrero
worker operario
chance chance
chance oportunidad
unemployment desempleo
seafront malecón
potato papa
sponsor auspiciador
sponsor patrocinador
toll peaje
toll tarifa
laziness flojera
laziness haraganería
laziness hueva
laziness pereza
apartment apartamento
apartment condominio
banana banano
policeman agente
policeman policía
dust polvareda
dust polvazal
dust tolvanera
spokesman delegado
spokesman representante
spokesman vocero
grade calificación
grade nota
grade puntaje
grade puntos
grade puntuación
grade resultado
kerosene gas
kerosene querosén
kerosene querosín
pickpocket carterista
pickpocket ladronzuelo
pickpocket ratero
pickpocket tamal
raid allanamiento
raid operación
raid operativo
raid redada
relation relación
repairing arreglo
repairing reparación
slip resbalada
slip resbalón
rumor bola
rumor rumor
highlander campesino
hissing chiflido
hissing silbido
position ubicación
arrogance arrogancia
arrogance pedantería
arrogance prepotencia
arrogance soberbia
bribery chanchullo
bribery coima
bribery mordida
bribery soborno
change menudo
change sencillo
change suelto
bar cantina
bar cervecería
tidbits boca
tidbits bocadillo
tidbits boquita
tidbits botana
earthquake sacudida
earthquake sismo
earthquake temblor
earthquake terremoto
store almacén
store tienda
