jacket saco
cardigan cárdigan
cardigan suéter
t-shirt camiseta
t-shirt suéter
sweater suéter
windbreaker campera
windbreaker jacket
overalls jardinera
overalls mameluco
overalls mono
overalls overol
poncho mañanita
poncho poncho
poncho ruana
jeans jeans
jeans "pantalón vaquero"
jeans vaquero
jeans vaqueros
overcoat abrigo
overcoat sobretodo
shawl chal
shawl estola
shawl mantilla
shawl mantón
shawl pashmina
pajamas "el piyama"
pajamas "la piyama"
skirt falda
ribbon huincha
ribbon vincha
"track suit" buzo
"track suit" jogging
"track suit" sudadera
hood capucha
hood capuchón
"bow tie" "corbata de moño"
"bow tie" gatito
"bow tie" moñito
"bow tie" moño
earrings aretes
earrings argollas
earrings aros
hairnet redecilla
ring anillo
ring sortija
cufflinks gemelos
cufflinks mancuernas
mascara rímel
"tape measure" cinta
"tape measure" "cinta métrica"
suspenders tirantes
socks medias
slippers chinelas
slippers pantuflas
heel tacón
heel "tacón alto"
underskirt enagua
underskirt peticote
petticoart peticote
panties panti
brassiere brassiere
zipper cierre
zipper zíper
"safety pin" imperdible
clasp botón
glasses anteojos
glasses espejuelos
glasses lentes
shorts bóxer
shorts calzoncillo
shorts jokey
shorts slip
swimsuit "traje de baño"
swimsuit "vestido de baño"
"sports shoes" zapatillas
"sports shoes" "zapatillas de deporte"
"sports shoes" "zapatillas deportivas"
folder carpeta
folder cartapacio
folder folder
valise maletín
valise portafolios
valise valija
bag bolso
bag "bolso de mano"
bag maletín
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
"dish rack" escurridor
"dish rack" secaplatos
dishwasher lavaplatos
dishwasher lavavajilla
cupboard alacena
cupboard aparador
cupboard estante
cupboard "mueble de cocina"
faucet llave
faucet pluma
sink fregador
cooker estufa
cooker parrilla
refrigerator refri
refrigerator refrigeradora
pot cacerola
pot olla
"frying pan" "el sartén"
"frying pan" freidora
"frying pan" "la sartén"
"frying pan" paila
dishcloth limpión
dishcloth paño
dishcloth "paño de fregar"
dishcloth trapo
straw carrizo
straw pajilla
coaster portavasos
"aluminum wheel" "papel aluminio"
"aluminum wheel" "papel de aluminio"
"thin crusted bread" molde
"thin crusted bread" "pan de molde"
"thin crusted bread" "pan molde"
"french loasus" flauta
"french loasus" baguet
"french loasus" "pan francés"
croissant croissant
roll pancito
roll "pancito de viena"
roll viena
tart tarta
sandwich emparedado
sandwich sándwich
popcorn pocorn
"small bottle" frasco
"small bottle" tarro
scales balanza
scales pesa
"gas cylinder" cilindro
"gas cylinder" tanque
bucket balde
bucket cubo
"baby's bottle" biberón
"baby's bottle" mamadera
teat chupón
teat mamón
lighter encendedor
lighter fosforera
lighter lighter
"living room" sala
"coffee table" "mesa de centro"
"coffee table" "mesita de centro"
"remote control" control
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle bocinas
baffle parlantes
baffle speakers
switch interruptor
switch luz
switch switch
"video cassette" cassette
"video cassette" videocasette
radio "el radio"
bedroom cuarto
bedroom dormitorio
bedroom habitación
bedroom recámara
chandelier "lámpara de noche"
chandelier "lamparita de noche"
chandelier velador
"night table" "mesa de noche"
"night table" "mesita de luz"
"night table" "mesita de noche"
blanket frazada
blanket manta
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
"chest of drawers" armario
"chest of drawers" chifonier
"chest of drawers" cómoda
"chest of drawers" gavetero
"chest of drawers" peinadora
"chest of drawers" ropero
"chest of drawers" sifonier
hanger gancho
hanger percha
washbasin lavamanos
washbasin lavatorio
tank tanque
tank "tanque del servicio"
bowl excusado
bowl servicio
bowl taza
bowl water
"toilet paper" "papel de servicio"
"toilet paper" "papel higiénico"
shower baño
shower regadera
rose ducha
rose regadera
bathtub bañadera
bathtub bañera
bathtub "tina de baño"
dryer blower
dryer secador
dryer "secador de pelo"
dryer secadora
landing descanso
landing "escalón de descanso"
bulb bombillo
bulb foco
stool banco
stool banquillo
stool banquito
stool taburete
glass vidrio
"trash can" basurero
"trash can" "cesto de basura"
"trash can" papelera
"trash can" tinaco
match fósforo
peg horquilla
"frame for drying clothes" alambre
"frame for drying clothes" tendedero
"lawn mower" cortagrama
"lawn mower" "máquina de cortar césped"
"lawn mower" "máquina de cortar pasto"
peephole mirador
peephole mirilla
"door knocker" aldaba
"door knocker" "argolla para golpear"
doorknob manija
doorknob perilla
doorknob tirador
stroller coche
stroller cochecito
stroller "cochecito de bebé"
deckchair cheslon
deckchair perezosa
deckchair "silla de extensión"
deckchair "silla de playa"
deckchair "silla playera"
deckchair "silla reclinable"
wrench llave
wrench "llave de boca"
wrench "llave inglesa"
"monkey wrench" llave
"monkey wrench" "llave inglesa"
"monkey wrench" "pico de loro"
car auto
car automóvil
car carro
"steering wheel" timón
"steering wheel" volante
"license plate" placa
fender bomper
fender defensa
fender parachoques
headlight faros
headlight focos
headlight luces
headlight silbines
windsreen parabrisa
windsreen parabrisas
windsreen vidrio
windsreen "vidrio del parabrisas"
hood tapa
winker direccional
winker "luz intermitente"
lock seguro
"luggage rack" parrilla
trunk baúl
trunk maletero
trunk valijera
"brake light" "luces de freno"
"brake light" "luces traseras"
"tail light" luces
"tail light" "luces de atrás"
"tail light" "luces traseras"
fender guardafangos
tire llanta
tire neumático
tire rueda
wheel llanta
wheel rueda
van camioneta
van camionetita
van furgón
van furgoneta
van panel
van van
jeep "doble tracción"
jeep todoterreno
trailer camper
