jacket saco
cardigan cárdigan
cardigan suéter
t-shirt camiseta
t-shirt suéter
sweater suéter
windbreaker campera
windbreaker jacket
overalls jardinera
overalls mameluco
overalls mono
overalls overol
poncho mañanita
poncho poncho
poncho ruana
jeans jeans
jeans vaquero
jeans vaqueros
overcoat abrigo
overcoat sobretodo
shawl chal
shawl estola
shawl mantilla
shawl mantón
shawl pashmina
pajamas piyama
skirt falda
ribbon huincha
ribbon vincha
hood capucha
hood capuchón
earrings aretes
earrings argollas
earrings aros
hairnet redecilla
ring anillo
ring sortija
cufflinks gemelos
cufflinks mancuernas
mascara rímel
suspenders tirantes
socks medias
slippers chinelas
slippers pantuflas
heel tacón
underskirt enagua
underskirt peticote
petticoart peticote
panties panti
brassiere brassiere
zipper cierre
zipper zíper
clasp botón
glasses anteojos
glasses espejuelos
glasses lentes
shorts bóxer
shorts calzoncillo
shorts jokey
shorts slip
folder carpeta
folder cartapacio
folder folder
valise maletín
valise portafolios
valise valija
bag bolso
bag maletín
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
dishwasher lavaplatos
dishwasher lavavajilla
cupboard alacena
cupboard aparador
cupboard estante
faucet llave
faucet pluma
sink fregador
cooker estufa
cooker parrilla
refrigerator refri
refrigerator refrigeradora
pot cacerola
pot olla
dishcloth limpión
dishcloth paño
dishcloth trapo
straw carrizo
straw pajilla
coaster portavasos
croissant croissant
roll pancito
roll viena
tart tarta
sandwich emparedado
sandwich sándwich
popcorn pocorn
scales balanza
scales pesa
bucket balde
bucket cubo
teat chupón
teat mamón
lighter encendedor
lighter fosforera
lighter lighter
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle bocinas
baffle parlantes
baffle speakers
switch interruptor
switch luz
switch switch
radio radio
bedroom cuarto
bedroom dormitorio
bedroom habitación
bedroom recámara
chandelier velador
blanket frazada
blanket manta
bedspread colcha
bedspread cubrecama
bedspread edredón
bedspread sobrecama
hanger gancho
hanger percha
washbasin lavamanos
washbasin lavatorio
tank tanque
bowl excusado
bowl servicio
bowl taza
bowl water
shower baño
shower regadera
rose ducha
rose regadera
bathtub bañadera
bathtub bañera
dryer blower
dryer secador
dryer secadora
landing descanso
bulb bombillo
bulb foco
stool banco
stool banquillo
stool banquito
stool taburete
glass vidrio
match fósforo
peg horquilla
peephole mirador
peephole mirilla
doorknob manija
doorknob perilla
doorknob tirador
stroller coche
stroller cochecito
deckchair cheslon
deckchair perezosa
wrench llave
car auto
car automóvil
car carro
fender bomper
fender defensa
fender parachoques
headlight faros
headlight focos
headlight luces
headlight silbines
windsreen parabrisa
windsreen parabrisas
windsreen vidrio
hood tapa
winker direccional
lock seguro
trunk baúl
trunk maletero
trunk valijera
fender guardafangos
tire llanta
tire neumático
tire rueda
wheel llanta
wheel rueda
van camioneta
van camionetita
van furgón
van furgoneta
van panel
van van
jeep todoterreno
trailer camper
trailer carro-casa
trailer remolque
trailer trailer
bulldozer buldózer
bulldozer excavadora
bulldozer retroexcavadora
bus autobús
bus bus
bus metrobús
handlebar manubrio
silencer mofle
silencer silenciador
exhaust mofle
minibus busito
minibus coaster
minibus van
scooter moto
scooter motoneta
platform andén
platform pasillo
platform plataforma
rail carriles
rail rieles
rail vías
tie durmientes
tie travesaños
sidewalk acera
reception recepción
stewardess azafata
bill boleto
bill pasaje
elevator elevador
pen bolígrafo
pen pluma
stapler engrapadora
stapler grapadora
stapler ponchadora
stapler presilladora
staple clips
staple grapas
staple presillas
blackboard pizarra
blackboard pizarrón
blackboard tablero
paperweight pisapapeles
paperweight sujetapapeles
computer computadora
computer lap
stamp estampilla
stamp sello
handle mango
handle manija
handle manivela
slingshot biombo
slingshot hondita
scooter escuter
scooter monopatín
scooter patineta
tent carpa
kite cometa
kite pandero
boat bote
boat canoa
boat cayuco
lawn césped
lawn grama
slide surradero
slide tobogán
bench banca
bench banco
poster afiche
poster cartel
poster poster
jukebox rocola
jukebox traganíquel
harmonica armónica
pancake pancake
pit carozo
pit pepa
pit semilla
packet caja
packet portabotellas
demijohn bidón
demijohn botella
demijohn galón
cap chapa
cap chapita
cap tapa
can botella
can lata
colander colador
ladle cucharito
drainboard cernidora
mixer barillas
filter filtro
knifegrinder afilador
knifegrinder amolador
knifegrinder esmeril
knifegrinder lima
tray bandeja
dishcloth repasador
basket canastilla
clasp abrazadera
washer lavarropa
bobin carrete
bobin carretel
cushion almohadón
stool escalera
q-tips cotonete
plaster curita
sling cabestrillo
attic altillo
attic ático
lock pasador
lock tranca
wardrobe ropero
bidet bidé
turtleneck polera
raincoat impermeable
raincoat piloto
bolero bolero
bolero chaleco
sportshirt chomba
sportshirt remera
smock bata
smock mameluco
fringe flecos
mitten manoplas
pochette riñonera
sandal playeras
studs spike
studs taquillas
apron delantal
chalk tiza
block cuaderno
photocopier fotocopiadora
marbles bolitas
hoop aro
hoop hula-hula
skateboard patineta
megaphone parlante
pinwheel hélice
pinwheel molinete
parachute paracaídas
frisbee disco
frisbee frisbee
boxing boxeo
binoculars anteojos
binoculars largavista
convertible decapotable
air-bag airbag
road autopista
saddle asiento
bar barra
bar mostrador
dam dique
dam represa
loudspeaker megáfono
loudspeaker parlante
horn bocina
toilet baño
toilet servicio
directory guía
bankbook libreta
spray spray
rotary rotonda
toothpaste dentífrico
loudspeaker micrófono
blind persiana
awning tolda
awning toldo
tripod tripié
battery pilas
