jacket saco
cardigan cárdigan
cardigan suéter
t-shirt remera
sweater buzo
sweater jersey
sweater pulóver
sweater suéter
sweater tricota
windbreaker campera
overalls jardinera
overalls mameluco
overalls overol
poncho mañanita
poncho poncho
jeans jeans
jeans "pantalón de lona"
jeans "pantalón vaquero"
jeans vaquero
overcoat sacón
overcoat sobretodo
shawl chal
shawl chalina
shawl pashmina
pajamas "el piyama"
skirt pollera
ribbon huincha
ribbon vincha
"track suit" buzo
"track suit" "conjunto de gimnasia"
"track suit" "equipo de gimnasia"
"track suit" jogging
hood capucha
hood capuchón
"bow tie" "corbata de cuello"
"bow tie" "corbata de moño"
"bow tie" moño
earrings aritos
earrings aros
ring anillo
ring sortija
cufflinks gemelos
mascara máscara
mascara rímel
"tape measure" centímetro
"tape measure" cinta
"tape measure" "cinta métrica"
"tape measure" metro
suspenders breteles
suspenders tirantes
socks medias
slippers chancletas
slippers pantuflas
heel taco
heel "taco alto"
underskirt enagua
underskirt "medio viso"
underskirt viso
petticoart enagua
petticoart viso
panties bombacha
brassiere corpiño
brassiere portaseno
brassiere sostén
zipper cierre
"safety pin" prendedor
clasp botón
clasp broche
glasses anteojos
glasses lentes
shorts anatómico
shorts calzoncillo
swimsuit malla
swimsuit "traje de baño"
"sports shoes" "calzado deportivo"
"sports shoes" championes
folder carpeta
valise maletín
valise portafolios
bag bolso
bag "bolso de mano"
bag bolsón
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
"dish rack" escurridor
dishwasher lavaplatos
dishwasher lavavajilla
dishwasher lavavajillas
cupboard alacena
cupboard aparador
cupboard estante
cupboard "mueble de cocina"
faucet canilla
faucet llave
faucet "llave de paso"
sink bacha
sink lavadero
sink pileta
cooker cocina
refrigerator heladera
pot cacerola
pot olla
"frying pan" "la sartén"
"frying pan" paila
dishcloth repasador
dishcloth trapo
straw bombilla
straw pajita
coaster posavasos
"aluminum wheel" "papel aluminio"
"aluminum wheel" "papel de aluminio"
"thin crusted bread" "pan de ""sandwich"""
"french loasus" flauta
"french loasus" baguet
"french loasus" "pan francés"
"french loasus" "pan trincha"
croissant factura
croissant "media luna"
roll "pan chip"
roll pancito
tart dulce
tart tarta
sandwich sándwich
popcorn pipocas
popcorn pororó
"small bottle" frasco
"small bottle" pote
"small bottle" vaso
scales balanza
scales romana
"gas cylinder" garrafa
bucket cubeta
"baby's bottle" biberón
"baby's bottle" mamadera
teat tetina
lighter encendedor
lighter zippo
"living room" living
"living room" sala
"coffee table" "mesa de living"
"coffee table" mesita
"coffee table" "mesita de centro"
"remote control" control
earphones audífonos
earphones auriculares
baffle bafles
baffle parlantes
switch botón
switch llave
switch perilla
"video cassette" video
radio "la radio"
bedroom dormitorio
bedroom habitación
bedroom pieza
chandelier velador
"night table" "mesita de luz"
blanket frazada
bedspread colcha
bedspread cubrecama
bedspread edredón
"chest of drawers" cómoda
"chest of drawers" ropero
hanger percha
washbasin lavatorio
tank cisterna
bowl inodoro
bowl water
"toilet paper" "papel higiénico"
shower ducha
rose ducha
bathtub bañadera
bathtub bañera
dryer secador
dryer "secador de pelo"
landing escalera
landing grada
landing peldaño
bulb foco
stool butaca
stool taburete
glass vidrio
"trash can" basurero
"trash can" "tacho de basura"
match fósforo
peg pinza
"frame for drying clothes" alambre
"frame for drying clothes" cuerda
"frame for drying clothes" tendedero
"lawn mower" "máquina de cortar césped"
"lawn mower" "máquina de cortar pasto"
peephole mirador
"door knocker" "argolla para golpear"
doorknob picaporte
stroller carrito
deckchair perezosa
deckchair reposera
deckchair "silla plegable"
deckchair "silla plegadiza"
deckchair "silla reclinable"
wrench llave
wrench "llave francesa"
wrench "llave inglesa"
"monkey wrench" llave
"monkey wrench" "llave inglesa"
car auto
car automóvil
car coche
"steering wheel" volante
"license plate" chapa
fender guardachoque
fender parachoques
fender paragolpe
fender paragolpes
headlight faros
headlight luces
windsreen parabrisa
windsreen parabrisas
windsreen "vidrio del parabrisas"
hood capó
winker señalero
"luggage rack" parrilla
"luggage rack" portabultos
"luggage rack" portaequipaje
trunk valijera
"brake light" "luces de freno"
"brake light" "luces traseras"
"brake light" señaleros
"tail light" luces
"tail light" "luces traseras"
fender guardabarros
tire cubierta
tire llanta
tire neumático
tire rueda
wheel rueda
van camioneta
van pickup
van camioncito
van furgón
jeep "cuatro por cuatro"
jeep jeep
jeep landrover
trailer "casa rodante"
bulldozer topadora
"concrete mixer truck" "camión mezcladora"
"dump truck" "camión basculante"
bus colectivo
bus micro
bus ómnibus
bus "ómnibus de turismo"
"petrol tank" tanque
"petrol tank" "tanque de combustible"
"petrol tank" "tanque de nafta"
handlebar manubrio
silencer silenciador
exhaust "caño de escape"
exhaust escape
minibus micro
minibus minibús
scooter motoneta
platform andén
rail carriles
rail rieles
rail vías
tie travesaños
"booking office" boletería
"booking office" ventanilla
sidewalk acera
sidewalk vereda
"uneven road surface" lomada
"uneven road surface" lomo
"uneven road surface" "lomo de burro"
"uneven road surface" mataburro
reception lobby
reception recepción
stewardess azafata
hitchhike "hacer dedo"
hitchhike "pedir dedo"
"bus stop" parada
bill boleto
bill pasaje
escalator "escalera mecánica"
pen bolígrafo
pen lapicera
pen pluma
"mechanical pencil" portaminas
"ball-point pen" birome
"ball-point pen" bolígrafo
"felt-tipped pen" iluminador
"felt-tipped pen" marcador
"felt-tipped pen" "marcador fosforecente"
