jacket saco
cardigan cárdigan
cardigan suéter
t-shirt remera
sweater buzo
sweater jersey
sweater pulóver
sweater suéter
sweater tricota
windbreaker campera
overalls jardinera
overalls mameluco
overalls overol
poncho mañanita
poncho poncho
jeans jeans
jeans vaquero
overcoat sacón
overcoat sobretodo
shawl chal
shawl chalina
shawl pashmina
pajamas piyama
skirt pollera
ribbon huincha
ribbon vincha
hood capucha
hood capuchón
earrings aritos
earrings aros
ring anillo
ring sortija
cufflinks gemelos
mascara máscara
mascara rímel
suspenders breteles
suspenders tirantes
socks medias
slippers chancletas
slippers pantuflas
heel taco
underskirt enagua
underskirt viso
petticoart enagua
petticoart viso
panties bombacha
brassiere corpiño
brassiere portaseno
brassiere sostén
zipper cierre
clasp botón
clasp broche
glasses anteojos
glasses lentes
shorts anatómico
shorts calzoncillo
swimsuit malla
folder carpeta
valise maletín
valise portafolios
bag bolso
bag bolsón
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
dishwasher lavaplatos
dishwasher lavavajilla
dishwasher lavavajillas
cupboard alacena
cupboard aparador
cupboard estante
faucet canilla
faucet llave
sink bacha
sink lavadero
sink pileta
cooker cocina
refrigerator heladera
pot cacerola
pot olla
dishcloth repasador
dishcloth trapo
straw bombilla
straw pajita
coaster posavasos
croissant factura
roll pancito
tart dulce
tart tarta
sandwich sándwich
popcorn pipocas
popcorn pororó
scales balanza
scales romana
bucket cubeta
teat tetina
lighter encendedor
lighter zippo
earphones audífonos
earphones auriculares
baffle bafles
baffle parlantes
switch botón
switch llave
switch perilla
radio radio
bedroom dormitorio
bedroom habitación
bedroom pieza
chandelier velador
blanket frazada
bedspread colcha
bedspread cubrecama
bedspread edredón
hanger percha
washbasin lavatorio
tank cisterna
bowl inodoro
bowl water
shower ducha
rose ducha
bathtub bañadera
bathtub bañera
dryer secador
landing escalera
landing grada
landing peldaño
bulb foco
stool butaca
stool taburete
glass vidrio
match fósforo
peg pinza
peephole mirador
doorknob picaporte
stroller carrito
deckchair perezosa
deckchair reposera
wrench llave
car auto
car automóvil
car coche
fender guardachoque
fender parachoques
fender paragolpe
fender paragolpes
headlight faros
headlight luces
windsreen parabrisa
windsreen parabrisas
hood capó
winker señalero
trunk valijera
fender guardabarros
tire cubierta
tire llanta
tire neumático
tire rueda
wheel rueda
van camioneta
van pickup
van camioncito
van furgón
jeep jeep
jeep landrover
bulldozer topadora
bus colectivo
bus micro
bus ómnibus
handlebar manubrio
silencer silenciador
exhaust escape
minibus micro
minibus minibús
scooter motoneta
platform andén
rail carriles
rail rieles
rail vías
tie travesaños
sidewalk acera
sidewalk vereda
reception lobby
reception recepción
stewardess azafata
bill boleto
bill pasaje
pen bolígrafo
pen lapicera
pen pluma
stapler presilladora
staple grampas
staple presillas
blackboard pizarra
blackboard pizarrón
paperweight pisapapeles
computer computadora
stamp estampilla
handle mango
handle manija
slingshot honda
slingshot hondita
scooter monopatín
scooter patineta
tent carpa
kite pandorga
boat bote
boat canoa
lawn césped
lawn pasto
slide tobogán
bench banco
poster afiche
poster cartel
poster propaganda
jukebox rocola
harmonica armónica
harmonica organillo
pancake crepe
pit carozo
pit semilla
packet portabotellas
demijohn bidón
cap tapa
can botella
can envase
colander colador
colander espumadera
ladle cuchara
ladle cucharón
drainboard cernidora
drainboard colador
drainboard escurridero
turner batidor
mixer batidora
filter purificador
knifegrinder afilador
tray bandeja
cupboard mueble
dishcloth trapito
playpen corralito
basket canastilla
clasp abrazadera
washer lavarropa
bobin carrete
bobin carretel
cushion almohadón
stool banquito
stool escalera
q-tips cotonete
plaster curita
sling cabestrillo
attic altillo
lock pasador
lock tranca
toothbrush cepillo
wardrobe placard
wardrobe ropero
bidet bidé
turtleneck polera
raincoat impermeable
raincoat piloto
bolero bolero
bolero chaleco
bolero torera
sportshirt chomba
sportshirt remera
smock batita
smock saquito
smock suetercito
fringe flecos
mitten manoplas
pochette riñonera
cuff botamanga
cuff ruedo
sandal sandalias
studs taquillas
shorts boxer
apron delantal
lipstick colorete
lipstick labial
rollers ruleros
chalk tiza
block cuaderno
checkbook chequera
photocopier fotocopiadora
swing hamaca
marbles balitas
marbles bolitas
marbles canicas
hoop hula-hula
skipping cuerda
skipping piola
skateboard patineta
skateboard skate
megaphone amplificador
megaphone megáfono
megaphone parlante
pinwheel hélice
pinwheel molinete
pinwheel molino
parachute paracaídas
frisbee disco
boxing boxeo
goal arco
merry-go-round calesita
merry-go-round carrusel
binoculars anteojos
binoculars binocular
binoculars largavista
convertible decapotable
air-bag airbag
road autopista
road ruta
saddle asiento
bar bar
bar barra
can bidón
can tambor
dam dique
dam represa
loudspeaker altavoz
loudspeaker altoparlante
loudspeaker parlante
horn bocina
toilet baño
bootblack lustrabotas
janitor limpiadora
directory guía
bankbook libreta
bankbook tarjeta
spray aerosol
spray spray
rotary rotonda
toothpaste dentífrico
blind persiana
awning carpa
awning toldo
tripod trípode
battery pilas
pushcart carrito
wedge tranca
check-room casillero
drain alcantarilla
drain registro
carrycot canguro
carrycot portabebé
number número
fans aficionados
fans barra
fans hinchada
fans hinchas
apricot damasco
food alimento
food comestible
raising subida
brook arroyo
murderer asesino
slap bife
slap bofetada
slap cachetada
slap sopapo
slap tortazo
bar cafetería
bar confitería
puff aspirada
puff chupada
puff pitada
waiter mesero
waiter mozo
switchboard centralita
pig cerdo
pig chancho
