jacket saco
cardigan suéter
t-shirt camiseta
sweater suéter
windbreaker chamarra
windbreaker chumpa
overalls overol
poncho poncho
jeans "blue jean"
jeans "blue jeans"
overcoat abrigo
overcoat sobretodo
shawl chal
shawl rebozo
pajamas "la piyama"
skirt falda
ribbon cinta
ribbon diadema
"track suit" pants
"track suit" sudadera
hood capucha
"bow tie" corbatín
earrings aretes
earrings aritos
hairnet "malla para el pelo"
ring anillo
cufflinks gemelos
cufflinks mancuernillas
mascara rímel
"tape measure" cinta
"tape measure" "cinta métrica"
suspenders tirantes
socks calcetines
slippers chanclas
slippers chancletas
slippers pantuflas
slippers sandalias
heel tacón
underskirt fustán
petticoart combinación
panties blúmer
panties calzones
brassiere brassiere
zipper bragueta
zipper zíper
"safety pin" gancho
clasp broche
clasp remache
glasses anteojos
glasses gafas
glasses lentes
shorts bóxer
shorts calzoncillo
swimsuit calzoneta
swimsuit "traje de baño"
"sports shoes" "calzado deportivo"
"sports shoes" tenis
"sports shoes" "zapatos de tenis"
folder carpeta
folder cartapacio
folder folder
valise maletín
valise portafolios
bag maletín
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
"dish rack" escurridor
dishwasher lavaplatos
cupboard alacena
cupboard pantri
faucet chorro
faucet llave
faucet "llave de chorro"
sink lavadero
sink lavaplatos
sink lavatrastes
cooker cocina
refrigerator refri
refrigerator refrigerador
refrigerator refrigeradora
pot cacerola
pot olla
"frying pan" cacerola
"frying pan" "el sartén"
"frying pan" "la sartén"
dishcloth paño
straw pajilla
coaster portavasos
"aluminum wheel" "papel aluminio"
"aluminum wheel" "papel de aluminio"
"thin crusted bread" "pan de caja"
"french loasus" baguet
croissant cachito
croissant cacho
roll bollo
roll "pan francés"
tart tarta
sandwich sándwich
popcorn palomitas
popcorn pocorn
"small bottle" bote
"small bottle" frasco
scales báscula
"gas cylinder" "tambo de gas"
bucket balde
"baby's bottle" pacha
teat biberón
lighter encendedor
"living room" sala
"coffee table" "mesa de centro"
"remote control" control
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle bafles
baffle bocinas
baffle parlantes
baffle speakers
switch interruptor
switch switch
"video cassette" video
"video cassette" videocasette
radio "el radio"
radio "la radio"
bedroom cuarto
bedroom dormitorio
bedroom habitación
chandelier "lámpara de mesa"
chandelier "lámpara de noche"
"night table" "mesa de noche"
"night table" "mesita de noche"
blanket cobija
blanket frazada
bedspread cubrecama
"chest of drawers" chifonier
"chest of drawers" gavetero
"chest of drawers" sifonier
hanger gancho
washbasin lavamanos
tank tanque
tank "tanque del agua"
tank "tanque del inodoro"
bowl excusado
bowl inodoro
bowl "taza del inodoro"
"toilet paper" "papel higiénico"
shower ducha
shower regadera
rose regadera
bathtub bañera
bathtub tina
bathtub "tina de baño"
dryer pistola
dryer secador
dryer secadora
landing descanso
landing "escalón de descanso"
bulb foco
stool banco
stool taburete
glass vidrio
"trash can" basurero
"trash can" papelera
match cerillo
match fósforo
peg chuchito
peg "gancho para ropa"
"frame for drying clothes" alambre
"frame for drying clothes" tendedero
"lawn mower" cortadora
"lawn mower" podadora
peephole mirilla
peephole "ojo de pescado"
"door knocker" aldaba
doorknob manija
doorknob perilla
doorknob picaporte
stroller "coche de bebé"
deckchair perezosa
deckchair playera
deckchair "silla playera"
deckchair "silla plegable"
wrench "llave inglesa"
"monkey wrench" "llave estilson"
car carro
"steering wheel" manubrio
"steering wheel" timón
"steering wheel" volante
"license plate" matrícula
"license plate" placa
fender bomper
headlight faros
headlight luces
headlight silbines
windsreen parabrisas
hood capó
hood capota
winker vías
lock chapa
"luggage rack" parrilla
trunk baúl
"brake light" "luces de freno"
"brake light" stops
"tail light" "luces traseras"
fender guardafangos
fender lodera
tire llanta
wheel llanta
van furgoneta
van panel
van camioneta
van camionetita
van furgoneta
