jacket saco
cardigan suéter
t-shirt camiseta
sweater suéter
windbreaker chamarra
windbreaker chumpa
overalls overol
poncho poncho
overcoat abrigo
overcoat sobretodo
shawl chal
shawl rebozo
pajamas piyama
skirt falda
ribbon cinta
ribbon diadema
hood capucha
earrings aretes
earrings aritos
ring anillo
cufflinks gemelos
cufflinks mancuernillas
mascara rímel
suspenders tirantes
socks calcetines
slippers chanclas
slippers chancletas
slippers pantuflas
slippers sandalias
heel tacón
underskirt fustán
petticoart combinación
panties blúmer
panties calzones
brassiere brassiere
zipper bragueta
zipper zíper
clasp broche
clasp remache
glasses anteojos
glasses gafas
glasses lentes
shorts bóxer
shorts calzoncillo
swimsuit calzoneta
folder carpeta
folder cartapacio
folder folder
valise maletín
valise portafolios
bag maletín
suitcase maleta
suitcase valija
handbag cartera
rucksack mochila
dishwasher lavaplatos
cupboard alacena
cupboard pantri
faucet chorro
faucet llave
sink lavadero
sink lavaplatos
sink lavatrastes
cooker cocina
refrigerator refri
refrigerator refrigerador
refrigerator refrigeradora
pot cacerola
pot olla
dishcloth paño
straw pajilla
coaster portavasos
croissant cachito
croissant cacho
roll bollo
tart tarta
sandwich sándwich
popcorn palomitas
popcorn pocorn
scales báscula
bucket balde
teat biberón
lighter encendedor
earphones audífonos
earphones auriculares
baffle altoparlantes
baffle bafles
baffle bocinas
baffle parlantes
baffle speakers
switch interruptor
switch switch
radio radio
bedroom cuarto
bedroom dormitorio
bedroom habitación
blanket cobija
blanket frazada
bedspread cubrecama
hanger gancho
washbasin lavamanos
tank tanque
bowl excusado
bowl inodoro
shower ducha
shower regadera
rose regadera
bathtub bañera
bathtub tina
dryer pistola
dryer secador
dryer secadora
landing descanso
bulb foco
stool banco
stool taburete
glass vidrio
match cerillo
match fósforo
peg chuchito
peephole mirilla
doorknob manija
doorknob perilla
doorknob picaporte
deckchair perezosa
deckchair playera
car carro
fender bomper
headlight faros
headlight luces
headlight silbines
windsreen parabrisas
hood capó
hood capota
winker vías
lock chapa
trunk baúl
fender guardafangos
fender lodera
tire llanta
wheel llanta
van furgoneta
van panel
van camioneta
van camionetita
jeep jeep
jeep todoterreno
trailer camper
bulldozer buldózer
bus autobús
bus bus
bus camioneta
bus interdepartamental
handlebar manubrio
handlebar timón
silencer escape
exhaust escape
minibus buseta
minibus coaster
minibus microbús
scooter motoneta
scooter vespa
platform andén
rail carriles
rail rieles
tie durmientes
sidewalk acera
sidewalk andén
reception lobby
reception recepción
stewardess aeromoza
stewardess azafata
bill boleto
bill pasaje
bill ticket
bill tiquete
elevator elevador
pen bolígrafo
pen lapicero
pen pluma
stapler engrapadora
staple grampas
staple grapas
blackboard pizarra
blackboard pizarrón
paperweight pisapapeles
computer computadora
stamp estampilla
handle mango
slingshot honda
slingshot hondilla
scooter monopatín
scooter patineta
kite pizcucha
boat bote
boat lancha
lawn césped
lawn grama
slide tobogán
bench banca
bench banco
poster afiche
poster anuncio
poster cartel
poster poster
poster rótulo
jukebox cinquera
jukebox rocola
harmonica armónica
harmonica dulzaina
pancake panqueque
pit pepita
pit semilla
demijohn garrafa
demijohn garrafón
cap corcholata
can lata
colander colador
ladle cucharón
drainboard colador
turner batidor
turner espátula
stool banquito
smock mameluco
fringe flecos
skipping saltacuerdas
air-bag airbag
road autopista
fans aficionados
sting aguijón
apricot albaricoque
food alimento
raising subida
brook regato
brook riachuelo
murderer asesino
slap bofetada
slap bofetón
bar bar
bar cafetería
puff calada
puff jalón
waiter camarero
switchboard centralita
pig cerdo
resignation dimisión
cooking cocción
cooking cocinar
avarice avaricia
shell concha
chat charla
chat conversación
anger rabia
cost costo
crossing cruce
slope cuesta
bay cala
amusement diversión
school colegio
stay estancia
miss fallo
financier financiero
bangs flequillo
plumber fontanero
stranger extranjero
stranger forastero
form formulario
rubber caucho
